"age","edu"
50,"SECONDARY"
64,"VOCATIONAL/GRAMMAR"
32,"VOCATIONAL/GRAMMAR"
58,"VOCATIONAL/GRAMMAR"
40,"PRIMARY/NO EDUCATION"
39,"SECONDARY"
60,"VOCATIONAL/GRAMMAR"
78,"SECONDARY"
58,"SECONDARY"
59,"SECONDARY"
55,"PRIMARY/NO EDUCATION"
53,"VOCATIONAL/GRAMMAR"
50,"SECONDARY"
26,"POST-SECONDARY OR HIGHER"
47,"VOCATIONAL/GRAMMAR"
25,"POST-SECONDARY OR HIGHER"
50,"VOCATIONAL/GRAMMAR"
20,"VOCATIONAL/GRAMMAR"
64,"VOCATIONAL/GRAMMAR"
28,"POST-SECONDARY OR HIGHER"
37,"POST-SECONDARY OR HIGHER"
47,"PRIMARY/NO EDUCATION"
41,"VOCATIONAL/GRAMMAR"
65,"PRIMARY/NO EDUCATION"
52,"VOCATIONAL/GRAMMAR"
35,"PRIMARY/NO EDUCATION"
75,"PRIMARY/NO EDUCATION"
61,"PRIMARY/NO EDUCATION"
64,"SECONDARY"
40,"VOCATIONAL/GRAMMAR"
27,"POST-SECONDARY OR HIGHER"
40,"PRIMARY/NO EDUCATION"
46,"VOCATIONAL/GRAMMAR"
25,"POST-SECONDARY OR HIGHER"
59,"SECONDARY"
66,"VOCATIONAL/GRAMMAR"
18,"VOCATIONAL/GRAMMAR"
18,"VOCATIONAL/GRAMMAR"
28,"SECONDARY"
40,"PRIMARY/NO EDUCATION"
50,"POST-SECONDARY OR HIGHER"
62,"PRIMARY/NO EDUCATION"
68,"POST-SECONDARY OR HIGHER"
58,"PRIMARY/NO EDUCATION"
26,"PRIMARY/NO EDUCATION"
37,"SECONDARY"
53,"VOCATIONAL/GRAMMAR"
70,"PRIMARY/NO EDUCATION"
21,"SECONDARY"
61,"VOCATIONAL/GRAMMAR"
50,"SECONDARY"
17,"VOCATIONAL/GRAMMAR"
38,"SECONDARY"
34,"POST-SECONDARY OR HIGHER"
61,"PRIMARY/NO EDUCATION"
65,"POST-SECONDARY OR HIGHER"
65,"SECONDARY"
63,"SECONDARY"
41,"VOCATIONAL/GRAMMAR"
30,"VOCATIONAL/GRAMMAR"
51,"PRIMARY/NO EDUCATION"
48,"VOCATIONAL/GRAMMAR"
79,"PRIMARY/NO EDUCATION"
56,"VOCATIONAL/GRAMMAR"
31,"VOCATIONAL/GRAMMAR"
17,"VOCATIONAL/GRAMMAR"
65,"VOCATIONAL/GRAMMAR"
25,"SECONDARY"
42,"VOCATIONAL/GRAMMAR"
36,"SECONDARY"
86,"PRIMARY/NO EDUCATION"
30,"VOCATIONAL/GRAMMAR"
23,"VOCATIONAL/GRAMMAR"
59,"SECONDARY"
75,"SECONDARY"
69,"PRIMARY/NO EDUCATION"
57,"VOCATIONAL/GRAMMAR"
47,"SECONDARY"
61,"POST-SECONDARY OR HIGHER"
64,"PRIMARY/NO EDUCATION"
26,"POST-SECONDARY OR HIGHER"
25,"SECONDARY"
60,"SECONDARY"
63,"POST-SECONDARY OR HIGHER"
55,"VOCATIONAL/GRAMMAR"
69,"SECONDARY"
57,"SECONDARY"
23,"SECONDARY"
54,"VOCATIONAL/GRAMMAR"
82,"VOCATIONAL/GRAMMAR"
19,"VOCATIONAL/GRAMMAR"
50,"SECONDARY"
68,"PRIMARY/NO EDUCATION"
42,"VOCATIONAL/GRAMMAR"
64,"PRIMARY/NO EDUCATION"
47,"SECONDARY"
54,"SECONDARY"
50,"POST-SECONDARY OR HIGHER"
73,"PRIMARY/NO EDUCATION"
35,"PRIMARY/NO EDUCATION"
40,"PRIMARY/NO EDUCATION"
42,"SECONDARY"
51,"POST-SECONDARY OR HIGHER"
51,"VOCATIONAL/GRAMMAR"
27,"POST-SECONDARY OR HIGHER"
68,"PRIMARY/NO EDUCATION"
34,"POST-SECONDARY OR HIGHER"
31,"VOCATIONAL/GRAMMAR"
37,"SECONDARY"
49,"VOCATIONAL/GRAMMAR"
74,"PRIMARY/NO EDUCATION"
77,"SECONDARY"
30,"SECONDARY"
40,"VOCATIONAL/GRAMMAR"
17,"VOCATIONAL/GRAMMAR"
58,"PRIMARY/NO EDUCATION"
43,"PRIMARY/NO EDUCATION"
81,"SECONDARY"
41,"VOCATIONAL/GRAMMAR"
67,"POST-SECONDARY OR HIGHER"
60,"PRIMARY/NO EDUCATION"
24,"POST-SECONDARY OR HIGHER"
48,"VOCATIONAL/GRAMMAR"
78,"VOCATIONAL/GRAMMAR"
60,"POST-SECONDARY OR HIGHER"
49,"VOCATIONAL/GRAMMAR"
21,"VOCATIONAL/GRAMMAR"
81,"VOCATIONAL/GRAMMAR"
57,"VOCATIONAL/GRAMMAR"
23,"SECONDARY"
46,"VOCATIONAL/GRAMMAR"
49,"SECONDARY"
42,"POST-SECONDARY OR HIGHER"
45,"SECONDARY"
50,"VOCATIONAL/GRAMMAR"
36,"SECONDARY"
22,"SECONDARY"
19,"VOCATIONAL/GRAMMAR"
17,"VOCATIONAL/GRAMMAR"
51,"SECONDARY"
25,"POST-SECONDARY OR HIGHER"
26,"POST-SECONDARY OR HIGHER"
59,"PRIMARY/NO EDUCATION"
60,"PRIMARY/NO EDUCATION"
22,"SECONDARY"
24,"VOCATIONAL/GRAMMAR"
48,"VOCATIONAL/GRAMMAR"
48,"VOCATIONAL/GRAMMAR"
40,"PRIMARY/NO EDUCATION"
85,"SECONDARY"
51,"VOCATIONAL/GRAMMAR"
50,"VOCATIONAL/GRAMMAR"
64,"SECONDARY"
46,"SECONDARY"
42,"SECONDARY"
28,"VOCATIONAL/GRAMMAR"
49,"PRIMARY/NO EDUCATION"
65,"SECONDARY"
27,"VOCATIONAL/GRAMMAR"
27,"SECONDARY"
63,"SECONDARY"
19,"SECONDARY"
30,"POST-SECONDARY OR HIGHER"
64,"SECONDARY"
54,"VOCATIONAL/GRAMMAR"
17,"VOCATIONAL/GRAMMAR"
37,"PRIMARY/NO EDUCATION"
64,"SECONDARY"
77,"POST-SECONDARY OR HIGHER"
28,"POST-SECONDARY OR HIGHER"
74,"SECONDARY"
23,"POST-SECONDARY OR HIGHER"
78,"PRIMARY/NO EDUCATION"
20,"VOCATIONAL/GRAMMAR"
50,"SECONDARY"
58,"VOCATIONAL/GRAMMAR"
31,"SECONDARY"
23,"SECONDARY"
38,"PRIMARY/NO EDUCATION"
31,"SECONDARY"
46,"SECONDARY"
35,"POST-SECONDARY OR HIGHER"
58,"POST-SECONDARY OR HIGHER"
20,"VOCATIONAL/GRAMMAR"
29,"SECONDARY"
26,"POST-SECONDARY OR HIGHER"
18,"VOCATIONAL/GRAMMAR"
62,"VOCATIONAL/GRAMMAR"
38,"SECONDARY"
59,"SECONDARY"
43,"VOCATIONAL/GRAMMAR"
73,"POST-SECONDARY OR HIGHER"
50,"SECONDARY"
17,"VOCATIONAL/GRAMMAR"
60,"VOCATIONAL/GRAMMAR"
26,"VOCATIONAL/GRAMMAR"
21,"SECONDARY"
23,"SECONDARY"
40,"PRIMARY/NO EDUCATION"
68,"PRIMARY/NO EDUCATION"
61,"PRIMARY/NO EDUCATION"
74,"SECONDARY"
16,"PRIMARY/NO EDUCATION"
61,"PRIMARY/NO EDUCATION"
41,"VOCATIONAL/GRAMMAR"
18,"VOCATIONAL/GRAMMAR"
57,"VOCATIONAL/GRAMMAR"
67,"SECONDARY"
57,"SECONDARY"
63,"PRIMARY/NO EDUCATION"
64,"PRIMARY/NO EDUCATION"
37,"POST-SECONDARY OR HIGHER"
74,"PRIMARY/NO EDUCATION"
42,"SECONDARY"
35,"VOCATIONAL/GRAMMAR"
61,"PRIMARY/NO EDUCATION"
33,"POST-SECONDARY OR HIGHER"
74,"SECONDARY"
36,"SECONDARY"
42,"POST-SECONDARY OR HIGHER"
54,"POST-SECONDARY OR HIGHER"
57,"POST-SECONDARY OR HIGHER"
20,"VOCATIONAL/GRAMMAR"
36,"SECONDARY"
75,"PRIMARY/NO EDUCATION"
35,"VOCATIONAL/GRAMMAR"
70,"PRIMARY/NO EDUCATION"
38,"VOCATIONAL/GRAMMAR"
25,"SECONDARY"
68,"PRIMARY/NO EDUCATION"
41,"VOCATIONAL/GRAMMAR"
42,"PRIMARY/NO EDUCATION"
69,"PRIMARY/NO EDUCATION"
26,"VOCATIONAL/GRAMMAR"
55,"VOCATIONAL/GRAMMAR"
40,"VOCATIONAL/GRAMMAR"
54,"VOCATIONAL/GRAMMAR"
26,"VOCATIONAL/GRAMMAR"
53,"VOCATIONAL/GRAMMAR"
60,"POST-SECONDARY OR HIGHER"
56,"POST-SECONDARY OR HIGHER"
37,"VOCATIONAL/GRAMMAR"
66,"POST-SECONDARY OR HIGHER"
57,"PRIMARY/NO EDUCATION"
71,"SECONDARY"
56,"SECONDARY"
31,"POST-SECONDARY OR HIGHER"
62,"SECONDARY"
23,"POST-SECONDARY OR HIGHER"
53,"SECONDARY"
31,"POST-SECONDARY OR HIGHER"
21,"SECONDARY"
16,"PRIMARY/NO EDUCATION"
43,"VOCATIONAL/GRAMMAR"
76,"SECONDARY"
59,"VOCATIONAL/GRAMMAR"
49,"VOCATIONAL/GRAMMAR"
68,"VOCATIONAL/GRAMMAR"
26,"SECONDARY"
56,"SECONDARY"
64,"PRIMARY/NO EDUCATION"
48,"VOCATIONAL/GRAMMAR"
68,"POST-SECONDARY OR HIGHER"
31,"POST-SECONDARY OR HIGHER"
43,"VOCATIONAL/GRAMMAR"
22,"VOCATIONAL/GRAMMAR"
40,"POST-SECONDARY OR HIGHER"
58,"PRIMARY/NO EDUCATION"
46,"VOCATIONAL/GRAMMAR"
44,"POST-SECONDARY OR HIGHER"
38,"SECONDARY"
25,"SECONDARY"
26,"SECONDARY"
25,"SECONDARY"
18,"VOCATIONAL/GRAMMAR"
28,"POST-SECONDARY OR HIGHER"
76,"PRIMARY/NO EDUCATION"
85,"PRIMARY/NO EDUCATION"
50,"PRIMARY/NO EDUCATION"
32,"SECONDARY"
17,"VOCATIONAL/GRAMMAR"
74,"POST-SECONDARY OR HIGHER"
86,"VOCATIONAL/GRAMMAR"
18,"VOCATIONAL/GRAMMAR"
68,"PRIMARY/NO EDUCATION"
41,"PRIMARY/NO EDUCATION"
60,"VOCATIONAL/GRAMMAR"
37,"POST-SECONDARY OR HIGHER"
49,"POST-SECONDARY OR HIGHER"
37,"POST-SECONDARY OR HIGHER"
51,"VOCATIONAL/GRAMMAR"
52,"VOCATIONAL/GRAMMAR"
34,"POST-SECONDARY OR HIGHER"
51,"VOCATIONAL/GRAMMAR"
27,"VOCATIONAL/GRAMMAR"
58,"VOCATIONAL/GRAMMAR"
17,"VOCATIONAL/GRAMMAR"
76,"VOCATIONAL/GRAMMAR"
68,"PRIMARY/NO EDUCATION"
24,"SECONDARY"
52,"POST-SECONDARY OR HIGHER"
20,"VOCATIONAL/GRAMMAR"
56,"PRIMARY/NO EDUCATION"
19,"VOCATIONAL/GRAMMAR"
18,"VOCATIONAL/GRAMMAR"
25,"VOCATIONAL/GRAMMAR"
23,"SECONDARY"
53,"VOCATIONAL/GRAMMAR"
44,"SECONDARY"
41,"SECONDARY"
52,"SECONDARY"
42,"VOCATIONAL/GRAMMAR"
55,"SECONDARY"
65,"SECONDARY"
45,"VOCATIONAL/GRAMMAR"
73,"PRIMARY/NO EDUCATION"
47,"VOCATIONAL/GRAMMAR"
68,"PRIMARY/NO EDUCATION"
76,"PRIMARY/NO EDUCATION"
61,"PRIMARY/NO EDUCATION"
47,"VOCATIONAL/GRAMMAR"
27,"POST-SECONDARY OR HIGHER"
26,"VOCATIONAL/GRAMMAR"
30,"POST-SECONDARY OR HIGHER"
34,"VOCATIONAL/GRAMMAR"
45,"VOCATIONAL/GRAMMAR"
56,"POST-SECONDARY OR HIGHER"
79,"PRIMARY/NO EDUCATION"
38,"VOCATIONAL/GRAMMAR"
54,"PRIMARY/NO EDUCATION"
56,"SECONDARY"
37,"SECONDARY"
40,"VOCATIONAL/GRAMMAR"
23,"SECONDARY"
17,"VOCATIONAL/GRAMMAR"
68,"VOCATIONAL/GRAMMAR"
70,"PRIMARY/NO EDUCATION"
74,"SECONDARY"
40,"SECONDARY"
48,"SECONDARY"
31,"SECONDARY"
49,"SECONDARY"
35,"SECONDARY"
63,"SECONDARY"
25,"POST-SECONDARY OR HIGHER"
52,"VOCATIONAL/GRAMMAR"
31,"VOCATIONAL/GRAMMAR"
63,"SECONDARY"
62,"VOCATIONAL/GRAMMAR"
21,"POST-SECONDARY OR HIGHER"
68,"VOCATIONAL/GRAMMAR"
58,"POST-SECONDARY OR HIGHER"
32,"SECONDARY"
26,"POST-SECONDARY OR HIGHER"
22,"SECONDARY"
42,"VOCATIONAL/GRAMMAR"
36,"POST-SECONDARY OR HIGHER"
55,"SECONDARY"
26,"POST-SECONDARY OR HIGHER"
26,"PRIMARY/NO EDUCATION"
54,"PRIMARY/NO EDUCATION"
71,"POST-SECONDARY OR HIGHER"
32,"VOCATIONAL/GRAMMAR"
69,"POST-SECONDARY OR HIGHER"
82,"SECONDARY"
33,"SECONDARY"
58,"VOCATIONAL/GRAMMAR"
29,"VOCATIONAL/GRAMMAR"
37,"SECONDARY"
57,"VOCATIONAL/GRAMMAR"
41,"SECONDARY"
58,"SECONDARY"
25,"VOCATIONAL/GRAMMAR"
60,"VOCATIONAL/GRAMMAR"
21,"SECONDARY"
76,"PRIMARY/NO EDUCATION"
42,"VOCATIONAL/GRAMMAR"
48,"VOCATIONAL/GRAMMAR"
25,"POST-SECONDARY OR HIGHER"
65,"POST-SECONDARY OR HIGHER"
58,"VOCATIONAL/GRAMMAR"
58,"VOCATIONAL/GRAMMAR"
58,"SECONDARY"
80,"PRIMARY/NO EDUCATION"
67,"PRIMARY/NO EDUCATION"
19,"VOCATIONAL/GRAMMAR"
82,"VOCATIONAL/GRAMMAR"
21,"POST-SECONDARY OR HIGHER"
81,"VOCATIONAL/GRAMMAR"
78,"PRIMARY/NO EDUCATION"
51,"VOCATIONAL/GRAMMAR"
47,"VOCATIONAL/GRAMMAR"
72,"PRIMARY/NO EDUCATION"
63,"POST-SECONDARY OR HIGHER"
26,"SECONDARY"
55,"VOCATIONAL/GRAMMAR"
45,"PRIMARY/NO EDUCATION"
77,"PRIMARY/NO EDUCATION"
56,"POST-SECONDARY OR HIGHER"
21,"SECONDARY"
81,"PRIMARY/NO EDUCATION"
54,"POST-SECONDARY OR HIGHER"
40,"VOCATIONAL/GRAMMAR"
40,"SECONDARY"
49,"SECONDARY"
23,"SECONDARY"
20,"SECONDARY"
60,"VOCATIONAL/GRAMMAR"
50,"SECONDARY"
55,"SECONDARY"
64,"PRIMARY/NO EDUCATION"
69,"PRIMARY/NO EDUCATION"
52,"PRIMARY/NO EDUCATION"
52,"VOCATIONAL/GRAMMAR"
60,"VOCATIONAL/GRAMMAR"
24,"SECONDARY"
62,"POST-SECONDARY OR HIGHER"
20,"VOCATIONAL/GRAMMAR"
49,"SECONDARY"
57,"SECONDARY"
36,"VOCATIONAL/GRAMMAR"
28,"PRIMARY/NO EDUCATION"
24,"SECONDARY"
54,"POST-SECONDARY OR HIGHER"
47,"POST-SECONDARY OR HIGHER"
50,"VOCATIONAL/GRAMMAR"
43,"SECONDARY"
58,"VOCATIONAL/GRAMMAR"
80,"SECONDARY"
66,"SECONDARY"
61,"PRIMARY/NO EDUCATION"
46,"POST-SECONDARY OR HIGHER"
60,"POST-SECONDARY OR HIGHER"
52,"VOCATIONAL/GRAMMAR"
74,"PRIMARY/NO EDUCATION"
18,"VOCATIONAL/GRAMMAR"
37,"POST-SECONDARY OR HIGHER"
31,"SECONDARY"
33,"VOCATIONAL/GRAMMAR"
56,"SECONDARY"
58,"PRIMARY/NO EDUCATION"
55,"POST-SECONDARY OR HIGHER"
34,"VOCATIONAL/GRAMMAR"
54,"VOCATIONAL/GRAMMAR"
61,"SECONDARY"
61,"VOCATIONAL/GRAMMAR"
38,"VOCATIONAL/GRAMMAR"
47,"VOCATIONAL/GRAMMAR"
68,"POST-SECONDARY OR HIGHER"
70,"PRIMARY/NO EDUCATION"
67,"VOCATIONAL/GRAMMAR"
23,"SECONDARY"
43,"PRIMARY/NO EDUCATION"
34,"VOCATIONAL/GRAMMAR"
34,"VOCATIONAL/GRAMMAR"
24,"PRIMARY/NO EDUCATION"
42,"PRIMARY/NO EDUCATION"
58,"VOCATIONAL/GRAMMAR"
18,"VOCATIONAL/GRAMMAR"
57,"VOCATIONAL/GRAMMAR"
54,"PRIMARY/NO EDUCATION"
24,"SECONDARY"
61,"SECONDARY"
51,"POST-SECONDARY OR HIGHER"
62,"SECONDARY"
33,"SECONDARY"
63,"PRIMARY/NO EDUCATION"
35,"VOCATIONAL/GRAMMAR"
27,"VOCATIONAL/GRAMMAR"
24,"POST-SECONDARY OR HIGHER"
46,"VOCATIONAL/GRAMMAR"
24,"SECONDARY"
63,"POST-SECONDARY OR HIGHER"
33,"POST-SECONDARY OR HIGHER"
62,"VOCATIONAL/GRAMMAR"
21,"POST-SECONDARY OR HIGHER"
57,"SECONDARY"
46,"VOCATIONAL/GRAMMAR"
80,"VOCATIONAL/GRAMMAR"
18,"VOCATIONAL/GRAMMAR"
21,"VOCATIONAL/GRAMMAR"
28,"VOCATIONAL/GRAMMAR"
35,"PRIMARY/NO EDUCATION"
36,"SECONDARY"
63,"VOCATIONAL/GRAMMAR"
18,"VOCATIONAL/GRAMMAR"
40,"SECONDARY"
25,"POST-SECONDARY OR HIGHER"
85,"PRIMARY/NO EDUCATION"
80,"PRIMARY/NO EDUCATION"
77,"PRIMARY/NO EDUCATION"
32,"SECONDARY"
82,"VOCATIONAL/GRAMMAR"
76,"SECONDARY"
82,"PRIMARY/NO EDUCATION"
17,"VOCATIONAL/GRAMMAR"
59,"PRIMARY/NO EDUCATION"
35,"SECONDARY"
31,"SECONDARY"
55,"SECONDARY"
49,"VOCATIONAL/GRAMMAR"
39,"SECONDARY"
26,"POST-SECONDARY OR HIGHER"
19,"SECONDARY"
58,"VOCATIONAL/GRAMMAR"
58,"VOCATIONAL/GRAMMAR"
20,"SECONDARY"
29,"SECONDARY"
30,"PRIMARY/NO EDUCATION"
51,"VOCATIONAL/GRAMMAR"
21,"SECONDARY"
54,"SECONDARY"
45,"VOCATIONAL/GRAMMAR"
36,"POST-SECONDARY OR HIGHER"
53,"VOCATIONAL/GRAMMAR"
57,"POST-SECONDARY OR HIGHER"
53,"PRIMARY/NO EDUCATION"
53,"PRIMARY/NO EDUCATION"
60,"VOCATIONAL/GRAMMAR"
32,"VOCATIONAL/GRAMMAR"
33,"SECONDARY"
22,"POST-SECONDARY OR HIGHER"
65,"PRIMARY/NO EDUCATION"
63,"POST-SECONDARY OR HIGHER"
30,"VOCATIONAL/GRAMMAR"
54,"VOCATIONAL/GRAMMAR"
33,"POST-SECONDARY OR HIGHER"
37,"VOCATIONAL/GRAMMAR"
96,"PRIMARY/NO EDUCATION"
27,"POST-SECONDARY OR HIGHER"
59,"POST-SECONDARY OR HIGHER"
46,"VOCATIONAL/GRAMMAR"
65,"POST-SECONDARY OR HIGHER"
64,"PRIMARY/NO EDUCATION"
75,"PRIMARY/NO EDUCATION"
34,"VOCATIONAL/GRAMMAR"
83,"PRIMARY/NO EDUCATION"
79,"PRIMARY/NO EDUCATION"
32,"POST-SECONDARY OR HIGHER"
54,"VOCATIONAL/GRAMMAR"
22,"SECONDARY"
58,"SECONDARY"
65,"POST-SECONDARY OR HIGHER"
75,"POST-SECONDARY OR HIGHER"
52,"PRIMARY/NO EDUCATION"
35,"POST-SECONDARY OR HIGHER"
53,"SECONDARY"
35,"VOCATIONAL/GRAMMAR"
21,"SECONDARY"
48,"VOCATIONAL/GRAMMAR"
56,"POST-SECONDARY OR HIGHER"
20,"SECONDARY"
45,"VOCATIONAL/GRAMMAR"
54,"PRIMARY/NO EDUCATION"
33,"POST-SECONDARY OR HIGHER"
62,"VOCATIONAL/GRAMMAR"
23,"POST-SECONDARY OR HIGHER"
68,"PRIMARY/NO EDUCATION"
28,"PRIMARY/NO EDUCATION"
64,"SECONDARY"
36,"SECONDARY"
37,"POST-SECONDARY OR HIGHER"
42,"PRIMARY/NO EDUCATION"
77,"PRIMARY/NO EDUCATION"
51,"POST-SECONDARY OR HIGHER"
17,"VOCATIONAL/GRAMMAR"
52,"VOCATIONAL/GRAMMAR"
60,"VOCATIONAL/GRAMMAR"
46,"POST-SECONDARY OR HIGHER"
34,"VOCATIONAL/GRAMMAR"
54,"SECONDARY"
31,"VOCATIONAL/GRAMMAR"
39,"VOCATIONAL/GRAMMAR"
67,"VOCATIONAL/GRAMMAR"
34,"POST-SECONDARY OR HIGHER"
53,"VOCATIONAL/GRAMMAR"
74,"PRIMARY/NO EDUCATION"
53,"SECONDARY"
69,"PRIMARY/NO EDUCATION"
41,"POST-SECONDARY OR HIGHER"
21,"SECONDARY"
38,"POST-SECONDARY OR HIGHER"
65,"SECONDARY"
22,"SECONDARY"
54,"VOCATIONAL/GRAMMAR"
30,"VOCATIONAL/GRAMMAR"
52,"SECONDARY"
49,"POST-SECONDARY OR HIGHER"
46,"VOCATIONAL/GRAMMAR"
82,"PRIMARY/NO EDUCATION"
64,"SECONDARY"
22,"SECONDARY"
28,"SECONDARY"
52,"SECONDARY"
25,"POST-SECONDARY OR HIGHER"
33,"POST-SECONDARY OR HIGHER"
43,"SECONDARY"
20,"SECONDARY"
35,"POST-SECONDARY OR HIGHER"
51,"POST-SECONDARY OR HIGHER"
34,"POST-SECONDARY OR HIGHER"
65,"POST-SECONDARY OR HIGHER"
45,"VOCATIONAL/GRAMMAR"
41,"VOCATIONAL/GRAMMAR"
17,"VOCATIONAL/GRAMMAR"
74,"PRIMARY/NO EDUCATION"
27,"POST-SECONDARY OR HIGHER"
72,"PRIMARY/NO EDUCATION"
33,"VOCATIONAL/GRAMMAR"
34,"SECONDARY"
48,"SECONDARY"
23,"VOCATIONAL/GRAMMAR"
24,"VOCATIONAL/GRAMMAR"
46,"VOCATIONAL/GRAMMAR"
39,"SECONDARY"
18,"VOCATIONAL/GRAMMAR"
44,"POST-SECONDARY OR HIGHER"
54,"POST-SECONDARY OR HIGHER"
38,"VOCATIONAL/GRAMMAR"
41,"VOCATIONAL/GRAMMAR"
74,"PRIMARY/NO EDUCATION"
22,"SECONDARY"
59,"VOCATIONAL/GRAMMAR"
47,"VOCATIONAL/GRAMMAR"
35,"VOCATIONAL/GRAMMAR"
58,"VOCATIONAL/GRAMMAR"
24,"VOCATIONAL/GRAMMAR"
33,"SECONDARY"
42,"VOCATIONAL/GRAMMAR"
49,"SECONDARY"
40,"VOCATIONAL/GRAMMAR"
40,"VOCATIONAL/GRAMMAR"
36,"SECONDARY"
50,"VOCATIONAL/GRAMMAR"
49,"VOCATIONAL/GRAMMAR"
25,"POST-SECONDARY OR HIGHER"
57,"SECONDARY"
29,"POST-SECONDARY OR HIGHER"
58,"POST-SECONDARY OR HIGHER"
25,"POST-SECONDARY OR HIGHER"
73,"PRIMARY/NO EDUCATION"
57,"PRIMARY/NO EDUCATION"
31,"VOCATIONAL/GRAMMAR"
60,"PRIMARY/NO EDUCATION"
24,"SECONDARY"
28,"POST-SECONDARY OR HIGHER"
45,"VOCATIONAL/GRAMMAR"
57,"VOCATIONAL/GRAMMAR"
35,"VOCATIONAL/GRAMMAR"
57,"PRIMARY/NO EDUCATION"
75,"PRIMARY/NO EDUCATION"
49,"POST-SECONDARY OR HIGHER"
73,"PRIMARY/NO EDUCATION"
69,"POST-SECONDARY OR HIGHER"
28,"POST-SECONDARY OR HIGHER"
55,"POST-SECONDARY OR HIGHER"
49,"VOCATIONAL/GRAMMAR"
23,"SECONDARY"
62,"POST-SECONDARY OR HIGHER"
63,"SECONDARY"
59,"PRIMARY/NO EDUCATION"
26,"POST-SECONDARY OR HIGHER"
17,"VOCATIONAL/GRAMMAR"
33,"POST-SECONDARY OR HIGHER"
26,"SECONDARY"
36,"SECONDARY"
53,"VOCATIONAL/GRAMMAR"
18,"VOCATIONAL/GRAMMAR"
41,"SECONDARY"
60,"PRIMARY/NO EDUCATION"
24,"SECONDARY"
55,"POST-SECONDARY OR HIGHER"
18,"VOCATIONAL/GRAMMAR"
42,"SECONDARY"
48,"VOCATIONAL/GRAMMAR"
83,"PRIMARY/NO EDUCATION"
39,"POST-SECONDARY OR HIGHER"
63,"POST-SECONDARY OR HIGHER"
85,"PRIMARY/NO EDUCATION"
33,"POST-SECONDARY OR HIGHER"
68,"PRIMARY/NO EDUCATION"
63,"PRIMARY/NO EDUCATION"
41,"SECONDARY"
52,"VOCATIONAL/GRAMMAR"
17,"VOCATIONAL/GRAMMAR"
26,"SECONDARY"
33,"POST-SECONDARY OR HIGHER"
38,"POST-SECONDARY OR HIGHER"
50,"VOCATIONAL/GRAMMAR"
53,"SECONDARY"
27,"VOCATIONAL/GRAMMAR"
78,"PRIMARY/NO EDUCATION"
59,"SECONDARY"
49,"VOCATIONAL/GRAMMAR"
68,"PRIMARY/NO EDUCATION"
62,"VOCATIONAL/GRAMMAR"
54,"VOCATIONAL/GRAMMAR"
43,"POST-SECONDARY OR HIGHER"
54,"POST-SECONDARY OR HIGHER"
16,"PRIMARY/NO EDUCATION"
33,"SECONDARY"
50,"POST-SECONDARY OR HIGHER"
90,"PRIMARY/NO EDUCATION"
53,"VOCATIONAL/GRAMMAR"
42,"SECONDARY"
37,"SECONDARY"
52,"SECONDARY"
50,"SECONDARY"
61,"VOCATIONAL/GRAMMAR"
18,"PRIMARY/NO EDUCATION"
46,"VOCATIONAL/GRAMMAR"
36,"SECONDARY"
51,"SECONDARY"
33,"SECONDARY"
61,"SECONDARY"
41,"POST-SECONDARY OR HIGHER"
23,"SECONDARY"
27,"SECONDARY"
66,"POST-SECONDARY OR HIGHER"
20,"SECONDARY"
50,"POST-SECONDARY OR HIGHER"
19,"VOCATIONAL/GRAMMAR"
46,"POST-SECONDARY OR HIGHER"
34,"SECONDARY"
72,"PRIMARY/NO EDUCATION"
50,"VOCATIONAL/GRAMMAR"
23,"POST-SECONDARY OR HIGHER"
46,"VOCATIONAL/GRAMMAR"
38,"VOCATIONAL/GRAMMAR"
20,"SECONDARY"
59,"VOCATIONAL/GRAMMAR"
30,"VOCATIONAL/GRAMMAR"
21,"VOCATIONAL/GRAMMAR"
48,"POST-SECONDARY OR HIGHER"
47,"VOCATIONAL/GRAMMAR"
33,"PRIMARY/NO EDUCATION"
54,"SECONDARY"
17,"VOCATIONAL/GRAMMAR"
61,"PRIMARY/NO EDUCATION"
62,"VOCATIONAL/GRAMMAR"
34,"SECONDARY"
53,"SECONDARY"
61,"PRIMARY/NO EDUCATION"
50,"SECONDARY"
55,"SECONDARY"
54,"VOCATIONAL/GRAMMAR"
27,"POST-SECONDARY OR HIGHER"
21,"SECONDARY"
40,"SECONDARY"
35,"POST-SECONDARY OR HIGHER"
65,"VOCATIONAL/GRAMMAR"
60,"VOCATIONAL/GRAMMAR"
57,"SECONDARY"
38,"SECONDARY"
65,"VOCATIONAL/GRAMMAR"
25,"SECONDARY"
60,"POST-SECONDARY OR HIGHER"
63,"VOCATIONAL/GRAMMAR"
40,"SECONDARY"
57,"VOCATIONAL/GRAMMAR"
46,"POST-SECONDARY OR HIGHER"
20,"VOCATIONAL/GRAMMAR"
62,"PRIMARY/NO EDUCATION"
52,"VOCATIONAL/GRAMMAR"
70,"PRIMARY/NO EDUCATION"
55,"SECONDARY"
51,"VOCATIONAL/GRAMMAR"
47,"VOCATIONAL/GRAMMAR"
35,"POST-SECONDARY OR HIGHER"
24,"SECONDARY"
52,"VOCATIONAL/GRAMMAR"
25,"SECONDARY"
19,"VOCATIONAL/GRAMMAR"
60,"PRIMARY/NO EDUCATION"
76,"POST-SECONDARY OR HIGHER"
52,"VOCATIONAL/GRAMMAR"
