Variable,ROC Value,epsilon,copies,number,parents
var4,0.9486148191810271,0.1,10,10,4
var1,0.9565639042257656,0.25,10,1,4
var2,0.9820767378518138,0.25,10,1,4
var3,0.939786660035117,0.25,10,1,4
var4,0.9605768153023797,0.25,10,1,4
var1,0.9546262727553223,0.25,10,2,4
var2,0.9644277061655537,0.25,10,2,4
var3,0.9939927169928847,0.25,10,2,4
var4,0.9642032467913029,0.25,10,2,4
var1,0.9511077784900938,0.25,10,3,4
var2,0.9212033378872355,0.25,10,3,4
var3,0.9604902310159433,0.25,10,3,4
var4,0.9471949268738574,0.25,10,3,4
var1,0.9959848852166038,0.25,10,4,4
var2,1.0,0.25,10,4,4
var3,0.991999362499004,0.25,10,4,4
var4,0.9284240570085438,0.25,10,4,4
var1,0.9587527124982687,0.25,10,5,4
var2,0.9586033131250724,0.25,10,5,4
var3,0.9454426905639206,0.25,10,5,4
var4,0.9602882605090111,0.25,10,5,4
var1,0.9397594221910599,0.25,10,6,4
var2,0.9336879432624114,0.25,10,6,4
var3,0.9899969742091139,0.25,10,6,4
var4,0.9740440712708924,0.25,10,6,4
var1,0.984021241603424,0.25,10,7,4
var2,0.9959945634793732,0.25,10,7,4
var3,0.997992459187357,0.25,10,7,4
var4,0.9486148191810271,0.25,10,7,4
var1,0.9546262727553223,0.25,10,8,4
var2,0.9959945634793732,0.25,10,8,4
var3,0.9101835425016974,0.25,10,8,4
var4,0.9819726999857068,0.25,10,8,4
var1,0.9604484064973187,0.25,10,9,4
var2,0.9511625690870974,0.25,10,9,4
var3,0.9741685039740763,0.25,10,9,4
var4,0.9247168591429973,0.25,10,9,4
var1,0.9473093147873675,0.25,10,10,4
var2,0.9626480688351275,0.25,10,10,4
var3,0.8921359056437579,0.25,10,10,4
var4,0.9702632072376131,0.25,10,10,4
var1,0.9492065668163279,0.5,10,1,4
var2,0.9568875594416322,0.5,10,1,4
var3,0.9279011297099434,0.5,10,1,4
var4,0.9544382479377251,0.5,10,1,4
var1,0.9587527124982687,0.5,10,2,4
var2,0.9979945506270786,0.5,10,2,4
var3,0.9435535126546363,0.5,10,2,4
var4,0.9661652811046921,0.5,10,2,4
var1,0.9604484064973187,0.5,10,3,4
var2,0.943209759068245,0.5,10,3,4
var3,0.9473357339836361,0.5,10,3,4
var4,0.9939682959684404,0.5,10,3,4
var1,0.9606740923233514,0.5,10,4,4
var2,0.9511625690870974,0.5,10,4,4
var3,0.9279011297099434,0.5,10,4,4
var4,0.9979838384814941,0.5,10,4,4
var1,0.9507601669446515,0.5,10,5,4
var2,0.9379388107945575,0.5,10,5,4
var3,0.9454426905639206,0.5,10,5,4
var4,0.9799858117239548,0.5,10,5,4
var1,0.9761120749684287,0.5,10,6,4
var2,0.9762311125029359,0.5,10,6,4
var3,0.9431292356246046,0.5,10,6,4
var4,0.9548165701381102,0.5,10,6,4
var1,0.9800600961063883,0.5,10,7,4
var2,0.9703851390780004,0.5,10,7,4
var3,1.0,0.5,10,7,4
var4,0.9780020888224263,0.5,10,7,4
var1,0.9430641308412642,0.5,10,8,4
var2,0.9781881300749224,0.5,10,8,4
var3,0.9416681768756796,0.5,10,8,4
var4,0.9661652811046921,0.5,10,8,4
var1,0.9959848852166038,0.5,10,9,4
var2,0.9492620206938527,0.5,10,9,4
var3,0.9741685039740763,0.5,10,9,4
var4,0.9524941719534685,0.5,10,9,4
var1,0.9742402547611224,0.5,10,10,4
var2,0.9761639318520845,0.5,10,10,4
var3,0.9742577779862854,0.5,10,10,4
var4,0.9740440712708924,0.5,10,10,4
var1,0.9645292047526685,0.75,10,1,4
var2,0.9586033131250724,0.75,10,1,4
var3,0.9304355611262813,0.75,10,1,4
var4,0.9622442452749242,0.75,10,1,4
var1,0.9507601669446515,0.75,10,2,4
var2,0.9492620206938527,0.75,10,2,4
var3,0.9860197694620516,0.75,10,2,4
var4,0.9979846016316472,0.75,10,2,4
var1,0.9625995811987607,0.75,10,3,4
var2,0.9605415860735009,0.75,10,3,4
var3,0.9508146060945741,0.75,10,3,4
var4,0.9509974528236942,0.75,10,3,4
var1,0.9702143393745891,0.75,10,4,4
var2,0.9393920430841582,0.75,10,4,4
var3,0.9684212162183163,0.75,10,4,4
var4,0.9452998209853787,0.75,10,4,4
var1,0.9507601669446515,0.75,10,5,4
var2,0.9530669925903292,0.75,10,5,4
var3,0.9412154141174323,0.75,10,5,4
var4,0.9683172021844292,0.75,10,5,4
var1,0.984021241603424,0.75,10,6,4
var2,0.943209759068245,0.75,10,6,4
var3,0.9880260902685203,0.75,10,6,4
var4,0.9583352765600224,0.75,10,6,4
var1,0.9721770352745646,0.75,10,7,4
var2,0.9723296429128333,0.75,10,7,4
var3,0.9379089391272957,0.75,10,7,4
var4,0.9819726999857068,0.75,10,7,4
var1,0.9278132313874821,0.75,10,8,4
var2,0.9336879432624114,0.75,10,8,4
var3,0.9360349913309766,0.75,10,8,4
var4,0.9799858117239548,0.75,10,8,4
var1,0.9397594221910599,0.75,10,9,4
var2,1.0,0.75,10,9,4
var3,0.9316906401562866,0.75,10,9,4
var4,0.9740440712708924,0.75,10,9,4
var1,0.9546262727553223,0.75,10,10,4
var2,0.9900079538675681,0.75,10,10,4
var3,0.9316906401562866,0.75,10,10,4
var4,0.9452998209853787,0.75,10,10,4
var1,0.9840586414261823,1.0,10,1,4
var2,0.9588037505283787,1.0,10,1,4
var3,0.962434710397442,1.0,10,1,4
var4,0.9642032467913029,1.0,10,1,4
var1,0.9682548361773011,1.0,10,2,4
var2,0.9741996786959759,1.0,10,2,4
var3,0.9820993494973389,1.0,10,2,4
var4,0.9586524888343786,1.0,10,2,4
var1,0.9488316600746541,1.0,10,3,4
var2,0.956668208448967,1.0,10,3,4
var3,0.9939927169928847,1.0,10,3,4
var4,0.9471949268738574,1.0,10,3,4
var1,0.9645292047526685,1.0,10,4,4
var2,0.966375588315376,1.0,10,4,4
var3,0.9585488922398793,1.0,10,4,4
var4,0.9452998209853787,1.0,10,4,4
var1,0.9546262727553223,1.0,10,5,4
var2,0.9568875594416322,1.0,10,5,4
var3,0.9840705447304794,1.0,10,5,4
var4,0.9799858117239548,1.0,10,5,4
var1,0.986035500614129,1.0,10,6,4
var2,0.960723912206392,1.0,10,6,4
var3,0.964382347452883,1.0,10,6,4
var4,0.9563852776064279,1.0,10,6,4
var1,0.9568354163067059,1.0,10,7,4
var2,0.9959945634793732,1.0,10,7,4
var3,0.997992459187357,1.0,10,7,4
var4,0.9583352765600224,1.0,10,7,4
var1,0.939233945791379,1.0,10,8,4
var2,0.9645762449737086,1.0,10,8,4
var3,0.9645510260934163,1.0,10,8,4
var4,0.9760215142934995,1.0,10,8,4
var1,0.9546262727553223,1.0,10,9,4
var2,0.9723296429128333,1.0,10,9,4
var3,0.9469658717954602,1.0,10,9,4
var4,0.9415217959053903,1.0,10,9,4
var1,0.9623953105334306,1.0,10,10,4
var2,0.9920070058116393,1.0,10,10,4
var3,0.9684212162183163,1.0,10,10,4
var4,0.9819726999857068,1.0,10,10,4
var1,0.9549221785410489,10.0,10,1,4
var2,0.982114861937212,10.0,10,1,4
var3,0.962434710397442,10.0,10,1,4
var4,0.9622442452749242,10.0,10,1,4
var1,0.9781545388114938,10.0,10,2,4
var2,0.9568875594416322,10.0,10,2,4
var3,0.962434710397442,10.0,10,2,4
var4,0.9681303643756445,10.0,10,2,4
var1,0.9880168193350884,10.0,10,3,4
var2,0.9586033131250724,10.0,10,3,4
var3,0.9549470370625676,10.0,10,3,4
var4,0.9720697430085821,10.0,10,3,4
var1,0.9801181885110689,10.0,10,4,4
var2,0.9588037505283787,10.0,10,4,4
var3,0.9450460495165945,10.0,10,4,4
var4,0.9661652811046921,10.0,10,4,4
var1,0.9568354163067059,10.0,10,5,4
var2,0.9586033131250724,10.0,10,5,4
var3,0.964382347452883,10.0,10,5,4
var4,0.9899711008039086,10.0,10,5,4
var1,0.9880168193350884,10.0,10,6,4
var2,0.9586033131250724,10.0,10,6,4
var3,0.9549470370625676,10.0,10,6,4
var4,0.9740440712708924,10.0,10,6,4
var1,0.9761952366950897,10.0,10,7,4
var2,0.960723912206392,10.0,10,7,4
var3,0.9585488922398793,10.0,10,7,4
var4,0.9700985128797341,10.0,10,7,4
var1,0.9565639042257656,10.0,10,8,4
var2,0.943209759068245,10.0,10,8,4
var3,0.9473357339836361,10.0,10,8,4
var4,0.9761278528041517,10.0,10,8,4
var1,0.9840586414261823,10.0,10,9,4
var2,0.9586033131250724,10.0,10,9,4
var3,0.9606972765524576,10.0,10,9,4
var4,0.9700985128797341,10.0,10,9,4
var1,0.9568354163067059,10.0,10,10,4
var2,0.9586033131250724,10.0,10,10,4
var3,0.9702443772133493,10.0,10,10,4
var4,0.9840105961525496,10.0,10,10,4
