"sex","age","agegr","placesize","region","edu","socprof","unempdur","income","marital","mmarr","ymarr","msepdiv","ysepdiv","ls","depress","trust","trustfam","trustneigh","sport","nofriend","smoke","nociga","alcabuse","alcsol","workab","wkabint","wkabintdur","emcc","englang","height","weight","bmi","wkabdur","eduspec","random"
"FEMALE",46,"45-59","URBAN 100,000-200,000","Pomorskie","SECONDARY","EMPLOYED IN PUBLIC SECTOR",0,1540,"DIVORCED",9,1984,9,2009,"MIXED",2,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",4,"YES",15,"NO","NO","NO","NO",NA,NA,"NONE",164,58,21.5645449137418,-8,"no specialisation","g"
"MALE",18,"16-24","RURAL AREAS","Warminsko-mazurskie","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT",0,360,"SINGLE",NA,NA,NA,NA,"MIXED",1,"ONE CAN`T BE TOO CAREFUL","YES","NO","NO",6,"NO",-8,"NO","NO","NO","NO",NA,NA,"ACTIVE",187,70,20.0177299894192,-8,"no specialisation","h"
"FEMALE",18,"16-24","URBAN 200,000-500,000","Slaskie","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT",24,NA,"SINGLE",NA,NA,NA,NA,"PLEASED",2,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","NO",4,"NO",-8,"NO","NO","NO","YES, TO EU COUNTRY","IT DEPENDS","GREAT BRITAIN","ACTIVE",164,53,19.7055324211779,-8,"no specialisation","p"
"FEMALE",60,"60-64","RURAL AREAS","Warminsko-mazurskie","SECONDARY","LONG-TERM SICK/DISABLED",-8,700,"DIVORCED",NA,NA,NA,NA,"MOSTLY DISSATISFIED",10,"IT`S DIFFICULT TO TELL","YES","YES","YES",2,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",157,70,28.3987180007303,-8,"no specialisation","o"
"FEMALE",25,"25-34","URBAN 100,000-200,000","Slaskie","SECONDARY","OTHER ECONOMICALLY INACTIVE",24,-8,"SINGLE",NA,NA,NA,NA,"MOSTLY SATISFIED",5,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",2,"NO",-8,"NO","NO","NO","NO",NA,NA,"ACTIVE",169,54,18.9069010188719,-8,"no specialisation","s"
"MALE",56,"45-59","RURAL AREAS","Wielkopolskie","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED",0,460,"MARRIED",12,1979,NA,NA,"MIXED",5,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",0,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",160,76,29.6875,-8,"no specialisation","p"
"FEMALE",22,"16-24","URBAN 100,000-200,000","Wielkopolskie","SECONDARY","UNEMPLOYED",14,640,"SINGLE",NA,NA,NA,NA,"MIXED",2,"IT`S DIFFICULT TO TELL","YES","NO","NO",0,"NO",-8,"NO","NO","NO","NO",NA,NA,"PASSIVE",159,59,23.3376844270401,-8,"no specialisation","s"
"MALE",67,"65+","RURAL AREAS","Podlaskie","PRIMARY/NO EDUCATION","RETIRED",24,1408,"MARRIED",6,1966,NA,NA,"MIXED",11,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",5,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",178,90,28.4055043555107,-8,"no specialisation","i"
"MALE",36,"35-44","RURAL AREAS","Kujawsko-pomorskie","SECONDARY","EMPLOYED IN PRIVATE SECTOR",-8,2000,"MARRIED",4,1998,NA,NA,"PLEASED",0,"MOST PEOPLE CAN BE TRUSTED","YES","YES","YES",3,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",176,98,31.6373966942149,-8,"no specialisation","v"
"MALE",29,"25-34","URBAN 20,000-100,000","Podlaskie","SECONDARY","PUPIL OR STUDENT",-8,1500,"SINGLE",NA,NA,NA,NA,"MOSTLY SATISFIED",1,"IT`S DIFFICULT TO TELL","YES","YES","YES",4,"YES",12,"NO","NO","NO","NO",NA,NA,"PASSIVE",182,68,20.5289216278227,-8,"no specialisation","p"
"FEMALE",24,"16-24","RURAL AREAS","Warminsko-mazurskie","SECONDARY","PUPIL OR STUDENT",0,1050,"SINGLE",NA,NA,NA,NA,"MOSTLY SATISFIED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",3,"NO",-8,"NO","NO","NO","NO",NA,NA,"ACTIVE",171,59,20.1771485243323,-8,"no specialisation","n"
"FEMALE",31,"25-34","URBAN 100,000-200,000","Podlaskie","SECONDARY","EMPLOYED IN PRIVATE SECTOR",-8,1200,"MARRIED",9,2000,NA,NA,"MOSTLY SATISFIED",0,"IT`S DIFFICULT TO TELL","YES","YES","YES",8,"NO",-8,"NO","NO","NO","NO",NA,NA,"ACTIVE",160,65,25.390625,-8,"no specialisation","h"
"FEMALE",65,"65+","RURAL AREAS","Lodzkie","PRIMARY/NO EDUCATION","RETIRED",0,826,"WIDOWED",11,1964,10,1986,"PLEASED",10,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",3,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",164,60,22.3081499107674,-8,"no specialisation","s"
"MALE",16,"16-24","RURAL AREAS","Podkarpackie","PRIMARY/NO EDUCATION","PUPIL OR STUDENT",-8,NA,"SINGLE",NA,NA,NA,NA,"PLEASED",0,"MOST PEOPLE CAN BE TRUSTED","YES","YES","NO",3,"NO",-8,"NO","NO","NO","NO",NA,NA,"ACTIVE",169,76,26.609712545079,-8,"no specialisation","j"
"FEMALE",16,"16-24","RURAL AREAS","Wielkopolskie","PRIMARY/NO EDUCATION","PUPIL OR STUDENT",-8,-8,"SINGLE",NA,NA,NA,NA,"MOSTLY SATISFIED",0,"IT`S DIFFICULT TO TELL","NO OPINION","NO OPINION","NO",20,"NO",-8,"NO","NO",NA,"NO",NA,NA,"PASSIVE",170,55,19.0311418685121,-8,"no specialisation","t"
"FEMALE",64,"60-64","RURAL AREAS","Dolnoslaskie","PRIMARY/NO EDUCATION","RETIRED",24,1000,"MARRIED",12,1968,NA,NA,"MOSTLY SATISFIED",6,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",3,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",164,62,23.051754907793,-8,"no specialisation","d"
"MALE",59,"45-59","RURAL AREAS","Lubuskie","PRIMARY/NO EDUCATION","OTHER ECONOMICALLY INACTIVE",24,841,"MARRIED",10,1972,NA,NA,"MOSTLY SATISFIED",9,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",2,"YES",20,"NO","NO","NO","NO",NA,NA,"NONE",170,70,24.2214532871972,-8,"no specialisation","i"
"MALE",31,"25-34","URBAN 200,000-500,000","Zachodnio-pomorskie","SECONDARY","EMPLOYED IN PRIVATE SECTOR",0,6000,"SINGLE",NA,NA,NA,NA,"PLEASED",1,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",8,"YES",20,"YES","NO","NO","NO",NA,NA,"ACTIVE",180,80,24.6913580246914,-8,"no specialisation","y"
"FEMALE",34,"25-34","URBAN 500,000 AND OVER","Mazowieckie","SECONDARY","EMPLOYED IN PRIVATE SECTOR",0,-8,"SINGLE",NA,NA,NA,NA,"MOSTLY SATISFIED",2,"IT`S DIFFICULT TO TELL","NO OPINION","NO OPINION","NO",2,"YES",15,"NO","NO","NO","NO",NA,NA,"ACTIVE",164,53,19.7055324211779,-8,"no specialisation","r"
"FEMALE",58,"45-59","URBAN 20,000-100,000","Slaskie","SECONDARY","EMPLOYED IN PUBLIC SECTOR",0,2000,"WIDOWED",10,1975,11,2000,"MOSTLY DISSATISFIED",2,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",10,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",160,62,24.21875,-8,"no specialisation","y"
"MALE",32,"25-34","URBAN 100,000-200,000","Lubelskie","PRIMARY/NO EDUCATION","UNEMPLOYED",-8,NA,"SINGLE",NA,NA,NA,NA,"TERRIBLE",3,"MOST PEOPLE CAN BE TRUSTED","YES","YES","NO",10,"YES",20,"YES","YES","NO","YES, TO EU COUNTRY","IT DEPENDS","GREAT BRITAIN","NONE",180,86,26.5432098765432,-8,"no specialisation","y"
"FEMALE",68,"65+","URBAN 100,000-200,000","Warminsko-mazurskie","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED",0,1200,"WIDOWED",6,1963,7,2009,"MOSTLY SATISFIED",12,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",4,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",158,60,24.034609838167,-8,"no specialisation","r"
"MALE",36,"35-44","RURAL AREAS","Mazowieckie","SECONDARY","UNEMPLOYED",6,2000,"MARRIED",10,NA,NA,NA,"MOSTLY SATISFIED",0,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",6,"NO",-8,"NO","NO","NO",NA,NA,NA,"PASSIVE",170,100,34.6020761245675,-8,"no specialisation","m"
"FEMALE",39,"35-44","URBAN 100,000-200,000","Lubelskie","SECONDARY","OTHER ECONOMICALLY INACTIVE",-8,1637,"DIVORCED",8,1995,8,2009,"MOSTLY DISSATISFIED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",80,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",163,70,26.346494034401,-8,"no specialisation","m"
"FEMALE",63,"60-64","RURAL AREAS","Slaskie","PRIMARY/NO EDUCATION","RETIRED",24,-8,"MARRIED",7,1969,NA,NA,"PLEASED",8,NA,"YES","YES","YES",3,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",158,65,26.0374939913475,-8,"no specialisation","n"
"MALE",54,"45-59","RURAL AREAS","Zachodnio-pomorskie","PRIMARY/NO EDUCATION","UNEMPLOYED",24,300,"SINGLE",NA,NA,NA,NA,"MIXED",6,"IT`S DIFFICULT TO TELL","YES","YES","YES",2,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",170,60,20.7612456747405,-8,"no specialisation","c"
"FEMALE",86,"65+","URBAN 200,000-500,000","Slaskie","PRIMARY/NO EDUCATION","RETIRED",24,1000,"MARRIED",12,1961,NA,NA,"MOSTLY SATISFIED",9,"ONE CAN`T BE TOO CAREFUL","NO","YES","YES",10,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",155,50,20.8116545265349,-8,"no specialisation","n"
"FEMALE",68,"65+","URBAN BELOW 20,000","Lodzkie","PRIMARY/NO EDUCATION","RETIRED",-8,896,"WIDOWED",10,1962,1,2010,"DELIGHTED",5,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",10,"YES",10,"NO","NO","NO","NO",NA,NA,"NONE",162,70,26.6727632982777,-8,"no specialisation","f"
"FEMALE",28,"25-34","URBAN 100,000-200,000","Mazowieckie","SECONDARY","EMPLOYED IN PUBLIC SECTOR",0,1250,"SINGLE",NA,NA,NA,NA,"MOSTLY SATISFIED",3,"MOST PEOPLE CAN BE TRUSTED","YES","NO","NO",8,"YES",10,"NO","NO","NO","NO",NA,NA,"ACTIVE",161,55,21.2183171945527,-8,"no specialisation","n"
"FEMALE",60,"60-64","RURAL AREAS","Mazowieckie","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED",0,726,"WIDOWED",4,1975,NA,2008,"PLEASED",12,"ONE CAN`T BE TOO CAREFUL","YES","NO","YES",9,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",170,98,33.9100346020761,-8,"no specialisation","m"
"FEMALE",80,"65+","URBAN 100,000-200,000","Zachodnio-pomorskie","PRIMARY/NO EDUCATION","RETIRED",-8,1300,"WIDOWED",5,1954,5,2005,"MIXED",14,"ONE CAN`T BE TOO CAREFUL","YES","NO","YES",5,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",160,70,27.34375,-8,"no specialisation","s"
"MALE",64,"60-64","URBAN 200,000-500,000","Opolskie","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED",24,1000,"MARRIED",9,1969,NA,NA,"MOSTLY SATISFIED",5,"IT`S DIFFICULT TO TELL","YES","YES","YES",10,"YES",10,"YES","YES","NO","NO",NA,NA,"NONE",170,80,27.681660899654,-8,"no specialisation","u"
"MALE",19,"16-24","URBAN 500,000 AND OVER","Wielkopolskie","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT",-8,NA,"SINGLE",NA,NA,NA,NA,"MOSTLY SATISFIED",0,"MOST PEOPLE CAN BE TRUSTED","YES","NO OPINION","YES",7,"NO",-8,"NO",NA,NA,"NO",NA,NA,"PASSIVE",183,NA,NA,-8,"no specialisation","f"
"FEMALE",21,"16-24","URBAN 100,000-200,000","Dolnoslaskie","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT",-8,NA,"SINGLE",NA,NA,NA,NA,"PLEASED",5,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",7,"NO",-8,"YES","NO",NA,"YES, TO EU COUNTRY","IT DEPENDS","SPAIN","ACTIVE",174,57,18.8267934998018,-8,"no specialisation","n"
"MALE",74,"65+","RURAL AREAS","Dolnoslaskie","PRIMARY/NO EDUCATION","RETIRED",-8,1200,"WIDOWED",5,1957,NA,2005,"MIXED",15,"IT`S DIFFICULT TO TELL","YES","YES","YES",2,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",178,88,27.7742709253882,-8,"no specialisation","x"
"FEMALE",71,"65+","RURAL AREAS","Malopolskie","PRIMARY/NO EDUCATION","RETIRED",0,860,"WIDOWED",11,1958,12,2009,"PLEASED",15,"IT`S DIFFICULT TO TELL","YES","YES","YES",5,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",165,65,23.8751147842057,-8,"no specialisation","k"
"FEMALE",56,"45-59","URBAN 200,000-500,000","Warminsko-mazurskie","SECONDARY","UNEMPLOYED",18,NA,"WIDOWED",6,1977,9,1994,"MOSTLY SATISFIED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",2,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",158,70,28.0403781445281,-8,"no specialisation","x"
"MALE",75,"65+","RURAL AREAS","Lubelskie","PRIMARY/NO EDUCATION","RETIRED",0,800,"MARRIED",4,1979,NA,NA,"MIXED",9,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","NO",3,"YES",20,"NO","NO","NO","NO",NA,NA,"NONE",173,65,21.7180660897457,-8,"no specialisation","c"
"MALE",41,"35-44","URBAN 20,000-100,000","Slaskie","SECONDARY","RETIRED",12,1400,"MARRIED",8,1992,NA,NA,"MIXED",7,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",5,"NO",-8,"YES","YES","NO","NO",NA,NA,"NONE",165,90,33.0578512396694,-8,"no specialisation","s"
"MALE",89,"65+","RURAL AREAS","Opolskie","PRIMARY/NO EDUCATION","RETIRED",12,1700,"MARRIED",1,1940,NA,NA,"MIXED",12,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION","YES",4,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",160,55,21.484375,-8,"no specialisation","a"
"FEMALE",71,"65+","URBAN 100,000-200,000","Dolnoslaskie","PRIMARY/NO EDUCATION","RETIRED",-8,1300,"DIVORCED",8,1973,11,1984,"MIXED",11,"MOST PEOPLE CAN BE TRUSTED","YES","YES","YES",10,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",170,96,33.2179930795848,-8,"no specialisation","q"
"FEMALE",22,"16-24","URBAN BELOW 20,000","Malopolskie","SECONDARY","PUPIL OR STUDENT",-8,1100,"SINGLE",NA,NA,NA,NA,"DELIGHTED",0,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","NO",5,"NO",-8,"NO","NO",NA,"NO",NA,NA,"ACTIVE",176,65,20.9839876033058,-8,"no specialisation","t"
"MALE",80,"65+","RURAL AREAS","Mazowieckie","PRIMARY/NO EDUCATION","RETIRED",0,750,"MARRIED",4,1960,NA,NA,"MOSTLY SATISFIED",13,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",4,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",167,70,25.0995015956112,-8,"no specialisation","x"
"FEMALE",21,"16-24","RURAL AREAS","Kujawsko-pomorskie","VOCATIONAL/GRAMMAR",NA,-8,1300,"SINGLE",NA,NA,NA,NA,"PLEASED",0,"IT`S DIFFICULT TO TELL","YES","NO","NO",10,"YES",10,"NO","NO","NO","NO",NA,NA,"NONE",164,60,22.3081499107674,-8,"no specialisation","w"
"FEMALE",40,"35-44","RURAL AREAS","Swietokrzyskie","SECONDARY","PUPIL OR STUDENT",-8,1400,"MARRIED",4,1990,NA,NA,"MOSTLY SATISFIED",6,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",12,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",158,53,21.2305720237141,-8,"no specialisation","k"
"FEMALE",38,"35-44","RURAL AREAS","Pomorskie","PRIMARY/NO EDUCATION",NA,0,803,"MARRIED",2,2000,NA,NA,"PLEASED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",5,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",165,56,20.5693296602388,-8,"no specialisation","i"
"MALE",88,"65+","URBAN 20,000-100,000","Swietokrzyskie","PRIMARY/NO EDUCATION","RETIRED",24,2100,"WIDOWED",6,1951,11,1972,"MIXED",10,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",12,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",158,71,28.4409549751642,-8,"no specialisation","j"
"MALE",65,"65+","RURAL AREAS","Malopolskie","PRIMARY/NO EDUCATION","FARMER",0,1800,"MARRIED",10,1964,NA,NA,"PLEASED",2,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",2,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",176,90,29.0547520661157,-8,"no specialisation","w"
"FEMALE",88,"65+","RURAL AREAS","Podkarpackie","SECONDARY","RETIRED",-8,1000,"WIDOWED",NA,NA,NA,NA,"MOSTLY SATISFIED",9,"MOST PEOPLE CAN BE TRUSTED","YES","NO","YES",3,"NO",-8,"YES","NO","NO","NO",NA,NA,"NONE",160,80,31.25,-8,"no specialisation","o"
"MALE",22,"16-24","RURAL AREAS","Pomorskie","VOCATIONAL/GRAMMAR","LONG-TERM SICK/DISABLED",0,900,"SINGLE",NA,NA,NA,NA,"MOSTLY SATISFIED",0,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION","YES",5,"YES",15,"NO","NO","NO","NO",NA,NA,"NONE",174,68,22.4600343506408,-8,"no specialisation","b"
"MALE",54,"45-59","RURAL AREAS","Podlaskie","SECONDARY","LONG-TERM SICK/DISABLED",-8,1800,"SINGLE",NA,NA,NA,NA,"MOSTLY SATISFIED",4,"ONE CAN`T BE TOO CAREFUL","YES","NO","NO",15,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",176,70,22.5981404958678,-8,"no specialisation","t"
"FEMALE",18,"16-24","RURAL AREAS","Kujawsko-pomorskie","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT",0,NA,"SINGLE",NA,NA,NA,NA,"PLEASED",4,"ONE CAN`T BE TOO CAREFUL","YES","NO","NO",6,"YES",3,"NO","NO",NA,"NO",NA,NA,"PASSIVE",168,53,18.7783446712018,-8,"no specialisation","s"
"FEMALE",16,"16-24","URBAN 100,000-200,000","Slaskie","PRIMARY/NO EDUCATION","PUPIL OR STUDENT",0,-8,"SINGLE",NA,NA,NA,NA,"PLEASED",2,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION","NO",3,"NO",-8,"NO","NO",NA,"NO",NA,NA,"ACTIVE",167,59,21.1552942020151,-8,"no specialisation","z"
"MALE",17,"16-24","URBAN 20,000-100,000","Slaskie","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT",-8,NA,"SINGLE",NA,NA,NA,NA,"MOSTLY SATISFIED",7,"ONE CAN`T BE TOO CAREFUL","YES","NO","NO",2,"NO",-8,"NO","NO","NO","NO",NA,NA,"ACTIVE",170,54,18.6851211072664,-8,"no specialisation","p"
"FEMALE",17,"16-24","RURAL AREAS","Lodzkie","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT",-8,-8,"SINGLE",NA,NA,NA,NA,"MOSTLY SATISFIED",1,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",4,"NO",-8,"NO","NO",NA,"NO",NA,NA,"ACTIVE",173,56,18.7109492465502,-8,"no specialisation","t"
"FEMALE",58,"45-59","URBAN BELOW 20,000","Zachodnio-pomorskie","PRIMARY/NO EDUCATION","RETIRED",-8,1300,"MARRIED",1,1973,NA,NA,"PLEASED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",20,"YES",12,"NO","NO","NO","NO",NA,NA,"NONE",160,100,39.0625,-8,"no specialisation","n"
"MALE",22,"16-24","RURAL AREAS","Swietokrzyskie","SECONDARY","PUPIL OR STUDENT",-8,NA,"SINGLE",NA,NA,NA,NA,"DELIGHTED",NA,"MOST PEOPLE CAN BE TRUSTED","YES","YES","NO",8,"NO",-8,"NO","NO","NO","YES, TO EU COUNTRY","FOREVER","GREAT BRITAIN","ACTIVE",178,80,25.2493372048984,-8,"no specialisation","d"
"FEMALE",65,"65+","URBAN 20,000-100,000","Swietokrzyskie","PRIMARY/NO EDUCATION","RETIRED",-8,800,"MARRIED",7,1967,NA,NA,"PLEASED",5,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",5,"YES",20,"NO","NO","NO","NO",NA,NA,"NONE",160,70,27.34375,-8,"no specialisation","h"
"FEMALE",61,"60-64","URBAN 500,000 AND OVER","Lodzkie","SECONDARY","RETIRED",24,1370,"WIDOWED",8,1970,1,2001,"MOSTLY SATISFIED",6,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",10,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",158,68,27.2392244832559,-8,"no specialisation","u"
"MALE",69,"65+","RURAL AREAS","Podlaskie","PRIMARY/NO EDUCATION","RETIRED",-8,1140,"MARRIED",9,1972,NA,NA,"MOSTLY SATISFIED",12,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",3,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",174,104,34.3506407715682,-8,"no specialisation","a"
"FEMALE",61,"60-64","RURAL AREAS","Lubuskie","PRIMARY/NO EDUCATION","OTHER ECONOMICALLY INACTIVE",-8,NA,"MARRIED",4,1971,NA,NA,"PLEASED",7,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",1,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",164,70,26.0261748958953,-8,"no specialisation","n"
"FEMALE",19,"16-24","RURAL AREAS","Podkarpackie","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT",-8,NA,"SINGLE",NA,NA,NA,NA,"MOSTLY SATISFIED",3,"MOST PEOPLE CAN BE TRUSTED","NO","NO","YES",5,"NO",-8,"NO","NO","NO","NO",NA,NA,"PASSIVE",168,51,18.0697278911565,-8,"no specialisation","b"
"FEMALE",81,"65+","URBAN 200,000-500,000","Slaskie","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED",24,3300,"WIDOWED",4,1963,11,1984,"PLEASED",11,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",10,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",156,80,32.8731097961867,-8,"no specialisation","d"
"FEMALE",60,"60-64","RURAL AREAS","Lubelskie","PRIMARY/NO EDUCATION","RETIRED",24,700,"WIDOWED",1,1971,2,2006,"PLEASED",9,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",0,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",164,73,27.1415823914337,-8,"no specialisation","h"
"FEMALE",64,"60-64","URBAN 100,000-200,000","Malopolskie","SECONDARY","RETIRED",0,1300,"MARRIED",5,1979,NA,NA,"PLEASED",7,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",10,"NO",-8,"NO","NO","NO","NO",NA,NA,"PASSIVE",160,75,29.296875,-8,"no specialisation","p"
"FEMALE",40,"35-44","RURAL AREAS","Mazowieckie","SECONDARY","EMPLOYED IN PRIVATE SECTOR",2,950,"MARRIED",6,1991,NA,NA,"MOSTLY SATISFIED",7,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",7,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",163,68,25.5937370619895,-8,"no specialisation","r"
"MALE",21,"16-24","URBAN BELOW 20,000","Podlaskie","SECONDARY","PUPIL OR STUDENT",-8,1000,"SINGLE",NA,NA,NA,NA,"MOSTLY SATISFIED",3,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","NO",5,"NO",-8,"NO","NO","NO","NO",NA,NA,"ACTIVE",180,102,31.4814814814815,-8,"no specialisation","y"
"MALE",70,"65+","URBAN BELOW 20,000","Malopolskie","PRIMARY/NO EDUCATION","RETIRED",-8,2200,"MARRIED",NA,1963,NA,NA,"MOSTLY SATISFIED",0,"ONE CAN`T BE TOO CAREFUL","YES","NO","YES",1,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",187,80,22.8774057021934,-8,"no specialisation","e"
"MALE",49,"45-59","RURAL AREAS","Zachodnio-pomorskie","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED",-8,604,"SINGLE",NA,NA,NA,NA,"MIXED",1,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","NO",10,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",176,76,24.5351239669421,-8,"no specialisation","y"
"FEMALE",23,"16-24","URBAN 100,000-200,000","Lodzkie","SECONDARY","PUPIL OR STUDENT",24,-8,"SINGLE",NA,NA,NA,NA,"PLEASED",0,"IT`S DIFFICULT TO TELL","YES","NO","NO",6,"NO",-8,"YES","YES",NA,"NO",NA,NA,"ACTIVE",160,53,20.703125,-8,"no specialisation","q"
"MALE",63,"60-64","RURAL AREAS","Lodzkie","PRIMARY/NO EDUCATION","RETIRED",24,1700,"MARRIED",10,1971,NA,NA,"PLEASED",12,"IT`S DIFFICULT TO TELL","NO OPINION","NO OPINION","YES",10,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",176,80,25.8264462809917,-8,"no specialisation","i"
"MALE",18,"16-24","URBAN 100,000-200,000","Kujawsko-pomorskie","PRIMARY/NO EDUCATION","PUPIL OR STUDENT",0,NA,"SINGLE",NA,NA,NA,NA,"MIXED",3,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","NO",5,"YES",20,"NO","NO",NA,"NO",NA,NA,"ACTIVE",189,84,23.5155790711346,-8,"no specialisation","g"
"FEMALE",80,"65+","URBAN 20,000-100,000","Pomorskie","SECONDARY","RETIRED",-8,2000,"WIDOWED",4,1955,8,1990,"MOSTLY SATISFIED",5,"MOST PEOPLE CAN BE TRUSTED","YES","YES","YES",1,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",158,70,28.0403781445281,-8,"no specialisation","r"
"FEMALE",70,"65+","RURAL AREAS","Lubelskie","PRIMARY/NO EDUCATION","RETIRED",24,780,"WIDOWED",4,1960,9,2004,"MIXED",8,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",5,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",164,70,26.0261748958953,-8,"no specialisation","g"
"FEMALE",78,"65+","URBAN 100,000-200,000","Lubelskie","PRIMARY/NO EDUCATION","RETIRED",24,3900,"WIDOWED",NA,1955,NA,2002,"PLEASED",10,"ONE CAN`T BE TOO CAREFUL",NA,NA,"YES",3,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",155,66,27.471383975026,-8,"no specialisation","g"
