"combine","value","type","n","dp","unique"
"0010",68,"original",1,0.1,"0010"
"0011",53,"original",1,0.1,"0010"
"0100",77,"original",1,0.1,"0010"
"0101",74,"original",1,0.1,"0010"
"0110",67,"original",1,0.1,"0010"
"0111",80,"original",1,0.1,"0010"
"1000",54,"original",1,0.1,"0010"
"1001",65,"original",1,0.1,"0010"
"1010",93,"original",1,0.1,"0010"
"1011",60,"original",1,0.1,"0010"
"1100",64,"original",1,0.1,"0010"
"1101",56,"original",1,0.1,"0010"
"1110",58,"original",1,0.1,"0010"
"1111",0,"original",1,0.1,"0010"
"0000",108,"synthetic",8,0.1,"0010"
"0001",63,"synthetic",8,0.1,"0010"
"0010",94,"synthetic",8,0.1,"0010"
"0011",57,"synthetic",8,0.1,"0010"
"0100",97,"synthetic",8,0.1,"0010"
"0101",70,"synthetic",8,0.1,"0010"
"0110",82,"synthetic",8,0.1,"0010"
"0111",79,"synthetic",8,0.1,"0010"
"1000",73,"synthetic",8,0.1,"0010"
"1001",64,"synthetic",8,0.1,"0010"
"1010",71,"synthetic",8,0.1,"0010"
"1011",64,"synthetic",8,0.1,"0010"
"1100",54,"synthetic",8,0.1,"0010"
"1101",62,"synthetic",8,0.1,"0010"
"1110",58,"synthetic",8,0.1,"0010"
"1111",10,"synthetic",8,0.1,"0010"
"0000",70,"original",1,0.1,"1010"
"0001",61,"original",1,0.1,"1010"
"0010",67,"original",1,0.1,"1010"
"0011",53,"original",1,0.1,"1010"
"0100",77,"original",1,0.1,"1010"
"0101",74,"original",1,0.1,"1010"
"0110",67,"original",1,0.1,"1010"
"0111",80,"original",1,0.1,"1010"
"1000",54,"original",1,0.1,"1010"
"1001",65,"original",1,0.1,"1010"
"1010",94,"original",1,0.1,"1010"
"1011",60,"original",1,0.1,"1010"
"1100",64,"original",1,0.1,"1010"
"1101",56,"original",1,0.1,"1010"
"1110",58,"original",1,0.1,"1010"
"1111",0,"original",1,0.1,"1010"
"0000",96,"synthetic",8,0.1,"1010"
"0001",66,"synthetic",8,0.1,"1010"
"0010",70,"synthetic",8,0.1,"1010"
"0011",56,"synthetic",8,0.1,"1010"
"0100",101,"synthetic",8,0.1,"1010"
"0101",64,"synthetic",8,0.1,"1010"
"0110",50,"synthetic",8,0.1,"1010"
"0111",78,"synthetic",8,0.1,"1010"
"1000",61,"synthetic",8,0.1,"1010"
"1001",62,"synthetic",8,0.1,"1010"
"1010",100,"synthetic",8,0.1,"1010"
"1011",50,"synthetic",8,0.1,"1010"
"1100",53,"synthetic",8,0.1,"1010"
"1101",50,"synthetic",8,0.1,"1010"
"1110",56,"synthetic",8,0.1,"1010"
"1111",-8,"synthetic",8,0.1,"1010"
"0000",70,"original",1,0.1,"0110"
"0001",61,"original",1,0.1,"0110"
"0010",67,"original",1,0.1,"0110"
"0011",53,"original",1,0.1,"0110"
"0100",77,"original",1,0.1,"0110"
"0101",74,"original",1,0.1,"0110"
"0110",68,"original",1,0.1,"0110"
"0111",80,"original",1,0.1,"0110"
"1000",54,"original",1,0.1,"0110"
"1001",65,"original",1,0.1,"0110"
"1010",93,"original",1,0.1,"0110"
"1011",60,"original",1,0.1,"0110"
"1100",64,"original",1,0.1,"0110"
"1101",56,"original",1,0.1,"0110"
"1110",58,"original",1,0.1,"0110"
"1111",0,"original",1,0.1,"0110"
"0000",72,"synthetic",8,0.1,"0110"
"0001",41,"synthetic",8,0.1,"0110"
"0010",69,"synthetic",8,0.1,"0110"
"0011",52,"synthetic",8,0.1,"0110"
"0100",77,"synthetic",8,0.1,"0110"
"0101",74,"synthetic",8,0.1,"0110"
"0110",68,"synthetic",8,0.1,"0110"
"0111",80,"synthetic",8,0.1,"0110"
"1000",66,"synthetic",8,0.1,"0110"
"1001",64,"synthetic",8,0.1,"0110"
"1010",121,"synthetic",8,0.1,"0110"
"1011",62,"synthetic",8,0.1,"0110"
"1100",65,"synthetic",8,0.1,"0110"
"1101",54,"synthetic",8,0.1,"0110"
"1110",57,"synthetic",8,0.1,"0110"
"1111",-18,"synthetic",8,0.1,"0110"
"0000",70,"original",1,0.1,"1110"
"0001",61,"original",1,0.1,"1110"
"0010",67,"original",1,0.1,"1110"
"0011",53,"original",1,0.1,"1110"
"0100",77,"original",1,0.1,"1110"
"0101",74,"original",1,0.1,"1110"
"0110",67,"original",1,0.1,"1110"
"0111",80,"original",1,0.1,"1110"
"1000",54,"original",1,0.1,"1110"
"1001",65,"original",1,0.1,"1110"
"1010",93,"original",1,0.1,"1110"
"1011",60,"original",1,0.1,"1110"
"1100",64,"original",1,0.1,"1110"
"1101",56,"original",1,0.1,"1110"
"1110",59,"original",1,0.1,"1110"
"1111",0,"original",1,0.1,"1110"
"0000",85,"synthetic",8,0.1,"1110"
"0001",33,"synthetic",8,0.1,"1110"
"0010",85,"synthetic",8,0.1,"1110"
"0011",66,"synthetic",8,0.1,"1110"
"0100",56,"synthetic",8,0.1,"1110"
"0101",74,"synthetic",8,0.1,"1110"
"0110",68,"synthetic",8,0.1,"1110"
"0111",76,"synthetic",8,0.1,"1110"
"1000",49,"synthetic",8,0.1,"1110"
"1001",58,"synthetic",8,0.1,"1110"
"1010",90,"synthetic",8,0.1,"1110"
"1011",53,"synthetic",8,0.1,"1110"
"1100",60,"synthetic",8,0.1,"1110"
"1101",51,"synthetic",8,0.1,"1110"
"1110",68,"synthetic",8,0.1,"1110"
"1111",-9,"synthetic",8,0.1,"1110"
"0000",70,"original",1,0.1,"0001"
"0001",62,"original",1,0.1,"0001"
"0010",67,"original",1,0.1,"0001"
"0011",53,"original",1,0.1,"0001"
"0100",77,"original",1,0.1,"0001"
"0101",74,"original",1,0.1,"0001"
"0110",67,"original",1,0.1,"0001"
"0111",80,"original",1,0.1,"0001"
"1000",54,"original",1,0.1,"0001"
"1001",65,"original",1,0.1,"0001"
"1010",93,"original",1,0.1,"0001"
"1011",60,"original",1,0.1,"0001"
"1100",64,"original",1,0.1,"0001"
"1101",56,"original",1,0.1,"0001"
"1110",58,"original",1,0.1,"0001"
"1111",0,"original",1,0.1,"0001"
"0000",69,"synthetic",8,0.1,"0001"
"0001",69,"synthetic",8,0.1,"0001"
"0010",70,"synthetic",8,0.1,"0001"
"0011",64,"synthetic",8,0.1,"0001"
"0100",52,"synthetic",8,0.1,"0001"
"0101",86,"synthetic",8,0.1,"0001"
"0110",107,"synthetic",8,0.1,"0001"
"0111",133,"synthetic",8,0.1,"0001"
"1000",89,"synthetic",8,0.1,"0001"
"1001",66,"synthetic",8,0.1,"0001"
"1010",88,"synthetic",8,0.1,"0001"
"1011",10,"synthetic",8,0.1,"0001"
"1100",75,"synthetic",8,0.1,"0001"
"1101",2,"synthetic",8,0.1,"0001"
"1110",65,"synthetic",8,0.1,"0001"
"1111",-11,"synthetic",8,0.1,"0001"
"0000",70,"original",1,0.1,"1001"
"0001",61,"original",1,0.1,"1001"
"0010",67,"original",1,0.1,"1001"
"0011",53,"original",1,0.1,"1001"
"0100",77,"original",1,0.1,"1001"
"0101",74,"original",1,0.1,"1001"
"0110",67,"original",1,0.1,"1001"
"0111",80,"original",1,0.1,"1001"
"1000",54,"original",1,0.1,"1001"
"1001",66,"original",1,0.1,"1001"
"1010",93,"original",1,0.1,"1001"
"1011",60,"original",1,0.1,"1001"
"1100",64,"original",1,0.1,"1001"
"1101",56,"original",1,0.1,"1001"
"1110",58,"original",1,0.1,"1001"
"1111",0,"original",1,0.1,"1001"
"0000",46,"synthetic",8,0.1,"1001"
"0001",75,"synthetic",8,0.1,"1001"
"0010",76,"synthetic",8,0.1,"1001"
"0011",71,"synthetic",8,0.1,"1001"
"0100",75,"synthetic",8,0.1,"1001"
"0101",75,"synthetic",8,0.1,"1001"
"0110",70,"synthetic",8,0.1,"1001"
"0111",80,"synthetic",8,0.1,"1001"
"1000",55,"synthetic",8,0.1,"1001"
"1001",53,"synthetic",8,0.1,"1001"
"1010",71,"synthetic",8,0.1,"1001"
"1011",63,"synthetic",8,0.1,"1001"
"1100",65,"synthetic",8,0.1,"1001"
"1101",59,"synthetic",8,0.1,"1001"
"1110",72,"synthetic",8,0.1,"1001"
"1111",-6,"synthetic",8,0.1,"1001"
"0000",70,"original",1,0.1,"0101"
"0001",61,"original",1,0.1,"0101"
"0010",67,"original",1,0.1,"0101"
"0011",53,"original",1,0.1,"0101"
"0100",77,"original",1,0.1,"0101"
"0101",75,"original",1,0.1,"0101"
"0110",67,"original",1,0.1,"0101"
"0111",80,"original",1,0.1,"0101"
"1000",54,"original",1,0.1,"0101"
"1001",65,"original",1,0.1,"0101"
"1010",93,"original",1,0.1,"0101"
"1011",60,"original",1,0.1,"0101"
"1100",64,"original",1,0.1,"0101"
"1101",56,"original",1,0.1,"0101"
"1110",58,"original",1,0.1,"0101"
"1111",0,"original",1,0.1,"0101"
"0000",95,"synthetic",8,0.1,"0101"
"0001",67,"synthetic",8,0.1,"0101"
"0010",77,"synthetic",8,0.1,"0101"
"0011",61,"synthetic",8,0.1,"0101"
"0100",75,"synthetic",8,0.1,"0101"
"0101",79,"synthetic",8,0.1,"0101"
"0110",78,"synthetic",8,0.1,"0101"
"0111",88,"synthetic",8,0.1,"0101"
"1000",79,"synthetic",8,0.1,"0101"
"1001",55,"synthetic",8,0.1,"0101"
"1010",85,"synthetic",8,0.1,"0101"
"1011",32,"synthetic",8,0.1,"0101"
"1100",62,"synthetic",8,0.1,"0101"
"1101",56,"synthetic",8,0.1,"0101"
"1110",61,"synthetic",8,0.1,"0101"
"1111",-1,"synthetic",8,0.1,"0101"
"0000",70,"original",1,0.1,"1101"
"0001",61,"original",1,0.1,"1101"
"0010",67,"original",1,0.1,"1101"
"0011",53,"original",1,0.1,"1101"
"0100",77,"original",1,0.1,"1101"
"0101",74,"original",1,0.1,"1101"
"0110",67,"original",1,0.1,"1101"
"0111",80,"original",1,0.1,"1101"
"1000",54,"original",1,0.1,"1101"
"1001",65,"original",1,0.1,"1101"
"1010",93,"original",1,0.1,"1101"
"1011",60,"original",1,0.1,"1101"
"1100",64,"original",1,0.1,"1101"
"1101",57,"original",1,0.1,"1101"
"1110",58,"original",1,0.1,"1101"
"1111",0,"original",1,0.1,"1101"
"0000",67,"synthetic",8,0.1,"1101"
"0001",72,"synthetic",8,0.1,"1101"
"0010",71,"synthetic",8,0.1,"1101"
"0011",39,"synthetic",8,0.1,"1101"
"0100",44,"synthetic",8,0.1,"1101"
"0101",82,"synthetic",8,0.1,"1101"
"0110",65,"synthetic",8,0.1,"1101"
"0111",64,"synthetic",8,0.1,"1101"
"1000",63,"synthetic",8,0.1,"1101"
"1001",63,"synthetic",8,0.1,"1101"
"1010",56,"synthetic",8,0.1,"1101"
"1011",63,"synthetic",8,0.1,"1101"
"1100",72,"synthetic",8,0.1,"1101"
"1101",78,"synthetic",8,0.1,"1101"
"1110",37,"synthetic",8,0.1,"1101"
"1111",20,"synthetic",8,0.1,"1101"
"0000",70,"original",1,0.1,"0011"
"0001",61,"original",1,0.1,"0011"
"0010",67,"original",1,0.1,"0011"
"0011",54,"original",1,0.1,"0011"
"0100",77,"original",1,0.1,"0011"
"0101",74,"original",1,0.1,"0011"
"0110",67,"original",1,0.1,"0011"
"0111",80,"original",1,0.1,"0011"
"1000",54,"original",1,0.1,"0011"
"1001",65,"original",1,0.1,"0011"
"1010",93,"original",1,0.1,"0011"
"1011",60,"original",1,0.1,"0011"
"1100",64,"original",1,0.1,"0011"
"1101",56,"original",1,0.1,"0011"
"1110",58,"original",1,0.1,"0011"
"1111",0,"original",1,0.1,"0011"
"0000",31,"synthetic",8,0.1,"0011"
"0001",59,"synthetic",8,0.1,"0011"
"0010",76,"synthetic",8,0.1,"0011"
"0011",50,"synthetic",8,0.1,"0011"
"0100",129,"synthetic",8,0.1,"0011"
"0101",68,"synthetic",8,0.1,"0011"
"0110",54,"synthetic",8,0.1,"0011"
"0111",68,"synthetic",8,0.1,"0011"
"1000",41,"synthetic",8,0.1,"0011"
"1001",59,"synthetic",8,0.1,"0011"
"1010",87,"synthetic",8,0.1,"0011"
"1011",41,"synthetic",8,0.1,"0011"
"1100",88,"synthetic",8,0.1,"0011"
"1101",71,"synthetic",8,0.1,"0011"
"1110",64,"synthetic",8,0.1,"0011"
"1111",-1,"synthetic",8,0.1,"0011"
"0000",70,"original",1,0.1,"1011"
"0001",61,"original",1,0.1,"1011"
"0010",67,"original",1,0.1,"1011"
"0011",53,"original",1,0.1,"1011"
"0100",77,"original",1,0.1,"1011"
"0101",74,"original",1,0.1,"1011"
"0110",67,"original",1,0.1,"1011"
"0111",80,"original",1,0.1,"1011"
"1000",54,"original",1,0.1,"1011"
"1001",65,"original",1,0.1,"1011"
"1010",93,"original",1,0.1,"1011"
"1011",61,"original",1,0.1,"1011"
"1100",64,"original",1,0.1,"1011"
"1101",56,"original",1,0.1,"1011"
"1110",58,"original",1,0.1,"1011"
"1111",0,"original",1,0.1,"1011"
"0000",78,"synthetic",8,0.1,"1011"
"0001",72,"synthetic",8,0.1,"1011"
"0010",60,"synthetic",8,0.1,"1011"
"0011",57,"synthetic",8,0.1,"1011"
"0100",57,"synthetic",8,0.1,"1011"
"0101",79,"synthetic",8,0.1,"1011"
"0110",70,"synthetic",8,0.1,"1011"
"0111",80,"synthetic",8,0.1,"1011"
"1000",51,"synthetic",8,0.1,"1011"
"1001",57,"synthetic",8,0.1,"1011"
"1010",97,"synthetic",8,0.1,"1011"
"1011",65,"synthetic",8,0.1,"1011"
"1100",59,"synthetic",8,0.1,"1011"
"1101",52,"synthetic",8,0.1,"1011"
"1110",41,"synthetic",8,0.1,"1011"
"1111",3,"synthetic",8,0.1,"1011"
"0000",70,"original",1,0.1,"0111"
"0001",61,"original",1,0.1,"0111"
"0010",67,"original",1,0.1,"0111"
"0011",53,"original",1,0.1,"0111"
"0100",77,"original",1,0.1,"0111"
"0101",74,"original",1,0.1,"0111"
"0110",67,"original",1,0.1,"0111"
"0111",81,"original",1,0.1,"0111"
"1000",54,"original",1,0.1,"0111"
"1001",65,"original",1,0.1,"0111"
"1010",93,"original",1,0.1,"0111"
"1011",60,"original",1,0.1,"0111"
"1100",64,"original",1,0.1,"0111"
"1101",56,"original",1,0.1,"0111"
"1110",58,"original",1,0.1,"0111"
"1111",0,"original",1,0.1,"0111"
"0000",101,"synthetic",8,0.1,"0111"
"0001",77,"synthetic",8,0.1,"0111"
"0010",53,"synthetic",8,0.1,"0111"
"0011",53,"synthetic",8,0.1,"0111"
"0100",80,"synthetic",8,0.1,"0111"
"0101",69,"synthetic",8,0.1,"0111"
"0110",60,"synthetic",8,0.1,"0111"
"0111",90,"synthetic",8,0.1,"0111"
"1000",42,"synthetic",8,0.1,"0111"
"1001",65,"synthetic",8,0.1,"0111"
"1010",100,"synthetic",8,0.1,"0111"
"1011",42,"synthetic",8,0.1,"0111"
"1100",74,"synthetic",8,0.1,"0111"
"1101",47,"synthetic",8,0.1,"0111"
"1110",48,"synthetic",8,0.1,"0111"
"1111",-6,"synthetic",8,0.1,"0111"
"0000",70,"original",1,0.1,"1111"
"0001",61,"original",1,0.1,"1111"
"0010",67,"original",1,0.1,"1111"
"0011",53,"original",1,0.1,"1111"
"0100",77,"original",1,0.1,"1111"
"0101",74,"original",1,0.1,"1111"
"0110",67,"original",1,0.1,"1111"
"0111",80,"original",1,0.1,"1111"
"1000",54,"original",1,0.1,"1111"
"1001",65,"original",1,0.1,"1111"
"1010",93,"original",1,0.1,"1111"
"1011",60,"original",1,0.1,"1111"
"1100",64,"original",1,0.1,"1111"
"1101",56,"original",1,0.1,"1111"
"1110",58,"original",1,0.1,"1111"
"1111",1,"original",1,0.1,"1111"
"0000",56,"synthetic",8,0.1,"1111"
"0001",65,"synthetic",8,0.1,"1111"
"0010",58,"synthetic",8,0.1,"1111"
"0011",63,"synthetic",8,0.1,"1111"
"0100",95,"synthetic",8,0.1,"1111"
"0101",75,"synthetic",8,0.1,"1111"
"0110",75,"synthetic",8,0.1,"1111"
"0111",100,"synthetic",8,0.1,"1111"
"1000",20,"synthetic",8,0.1,"1111"
"1001",66,"synthetic",8,0.1,"1111"
"1010",86,"synthetic",8,0.1,"1111"
"1011",83,"synthetic",8,0.1,"1111"
"1100",66,"synthetic",8,0.1,"1111"
"1101",73,"synthetic",8,0.1,"1111"
"1110",88,"synthetic",8,0.1,"1111"
"1111",5,"synthetic",8,0.1,"1111"
"0000",71,"original",1,0.1,"0000"
"0001",61,"original",1,0.1,"0000"
"0010",67,"original",1,0.1,"0000"
"0011",53,"original",1,0.1,"0000"
"0100",77,"original",1,0.1,"0000"
"0101",74,"original",1,0.1,"0000"
"0110",67,"original",1,0.1,"0000"
"0111",80,"original",1,0.1,"0000"
"1000",54,"original",1,0.1,"0000"
"1001",65,"original",1,0.1,"0000"
"1010",93,"original",1,0.1,"0000"
"1011",60,"original",1,0.1,"0000"
"1100",64,"original",1,0.1,"0000"
"1101",56,"original",1,0.1,"0000"
"1110",58,"original",1,0.1,"0000"
"1111",0,"original",1,0.1,"0000"
"0000",83,"synthetic",9,0.1,"0000"
"0001",45,"synthetic",9,0.1,"0000"
"0010",65,"synthetic",9,0.1,"0000"
"0011",38,"synthetic",9,0.1,"0000"
"0100",73,"synthetic",9,0.1,"0000"
"0101",63,"synthetic",9,0.1,"0000"
"0110",58,"synthetic",9,0.1,"0000"
"0111",79,"synthetic",9,0.1,"0000"
"1000",54,"synthetic",9,0.1,"0000"
"1001",67,"synthetic",9,0.1,"0000"
"1010",98,"synthetic",9,0.1,"0000"
"1011",66,"synthetic",9,0.1,"0000"
"1100",63,"synthetic",9,0.1,"0000"
"1101",85,"synthetic",9,0.1,"0000"
"1110",71,"synthetic",9,0.1,"0000"
"1111",-13,"synthetic",9,0.1,"0000"
"0000",70,"original",1,0.1,"1000"
"0001",61,"original",1,0.1,"1000"
"0010",67,"original",1,0.1,"1000"
"0011",53,"original",1,0.1,"1000"
"0100",77,"original",1,0.1,"1000"
"0101",74,"original",1,0.1,"1000"
"0110",67,"original",1,0.1,"1000"
"0111",80,"original",1,0.1,"1000"
"1000",55,"original",1,0.1,"1000"
"1001",65,"original",1,0.1,"1000"
"1010",93,"original",1,0.1,"1000"
"1011",60,"original",1,0.1,"1000"
"1100",64,"original",1,0.1,"1000"
"1101",56,"original",1,0.1,"1000"
"1110",58,"original",1,0.1,"1000"
"1111",0,"original",1,0.1,"1000"
"0000",71,"synthetic",9,0.1,"1000"
"0001",78,"synthetic",9,0.1,"1000"
"0010",65,"synthetic",9,0.1,"1000"
"0011",52,"synthetic",9,0.1,"1000"
"0100",91,"synthetic",9,0.1,"1000"
"0101",73,"synthetic",9,0.1,"1000"
"0110",68,"synthetic",9,0.1,"1000"
"0111",76,"synthetic",9,0.1,"1000"
"1000",51,"synthetic",9,0.1,"1000"
"1001",58,"synthetic",9,0.1,"1000"
"1010",95,"synthetic",9,0.1,"1000"
"1011",62,"synthetic",9,0.1,"1000"
"1100",62,"synthetic",9,0.1,"1000"
"1101",56,"synthetic",9,0.1,"1000"
"1110",57,"synthetic",9,0.1,"1000"
"1111",10,"synthetic",9,0.1,"1000"
"0000",70,"original",1,0.1,"0100"
"0001",61,"original",1,0.1,"0100"
"0010",67,"original",1,0.1,"0100"
"0011",53,"original",1,0.1,"0100"
"0100",78,"original",1,0.1,"0100"
"0101",74,"original",1,0.1,"0100"
"0110",67,"original",1,0.1,"0100"
"0111",80,"original",1,0.1,"0100"
"1000",54,"original",1,0.1,"0100"
"1001",65,"original",1,0.1,"0100"
"1010",93,"original",1,0.1,"0100"
"1011",60,"original",1,0.1,"0100"
"1100",64,"original",1,0.1,"0100"
"1101",56,"original",1,0.1,"0100"
"1110",58,"original",1,0.1,"0100"
"1111",0,"original",1,0.1,"0100"
"0000",65,"synthetic",9,0.1,"0100"
"0001",60,"synthetic",9,0.1,"0100"
"0010",64,"synthetic",9,0.1,"0100"
"0011",85,"synthetic",9,0.1,"0100"
"0100",85,"synthetic",9,0.1,"0100"
"0101",67,"synthetic",9,0.1,"0100"
"0110",85,"synthetic",9,0.1,"0100"
"0111",79,"synthetic",9,0.1,"0100"
"1000",20,"synthetic",9,0.1,"0100"
"1001",70,"synthetic",9,0.1,"0100"
"1010",95,"synthetic",9,0.1,"0100"
"1011",63,"synthetic",9,0.1,"0100"
"1100",74,"synthetic",9,0.1,"0100"
"1101",51,"synthetic",9,0.1,"0100"
"1110",46,"synthetic",9,0.1,"0100"
"1111",1,"synthetic",9,0.1,"0100"
"0000",70,"original",1,0.1,"1100"
"0001",61,"original",1,0.1,"1100"
"0010",67,"original",1,0.1,"1100"
"0011",53,"original",1,0.1,"1100"
"0100",77,"original",1,0.1,"1100"
"0101",74,"original",1,0.1,"1100"
"0110",67,"original",1,0.1,"1100"
"0111",80,"original",1,0.1,"1100"
"1000",54,"original",1,0.1,"1100"
"1001",65,"original",1,0.1,"1100"
"1010",93,"original",1,0.1,"1100"
"1011",60,"original",1,0.1,"1100"
"1100",65,"original",1,0.1,"1100"
"1101",56,"original",1,0.1,"1100"
"1110",58,"original",1,0.1,"1100"
"1111",0,"original",1,0.1,"1100"
"0000",81,"synthetic",9,0.1,"1100"
"0001",57,"synthetic",9,0.1,"1100"
"0010",84,"synthetic",9,0.1,"1100"
"0011",75,"synthetic",9,0.1,"1100"
"0100",61,"synthetic",9,0.1,"1100"
"0101",67,"synthetic",9,0.1,"1100"
"0110",75,"synthetic",9,0.1,"1100"
"0111",81,"synthetic",9,0.1,"1100"
"1000",52,"synthetic",9,0.1,"1100"
"1001",50,"synthetic",9,0.1,"1100"
"1010",101,"synthetic",9,0.1,"1100"
"1011",62,"synthetic",9,0.1,"1100"
"1100",88,"synthetic",9,0.1,"1100"
"1101",53,"synthetic",9,0.1,"1100"
"1110",67,"synthetic",9,0.1,"1100"
"1111",-10,"synthetic",9,0.1,"1100"
"0000",70,"original",1,0.1,"0010"
"0001",61,"original",1,0.1,"0010"
"0010",68,"original",1,0.1,"0010"
"0011",53,"original",1,0.1,"0010"
"0100",77,"original",1,0.1,"0010"
"0101",74,"original",1,0.1,"0010"
"0110",67,"original",1,0.1,"0010"
"0111",80,"original",1,0.1,"0010"
"1000",54,"original",1,0.1,"0010"
"1001",65,"original",1,0.1,"0010"
"1010",93,"original",1,0.1,"0010"
"1011",60,"original",1,0.1,"0010"
"1100",64,"original",1,0.1,"0010"
"1101",56,"original",1,0.1,"0010"
"1110",58,"original",1,0.1,"0010"
"1111",0,"original",1,0.1,"0010"
"0000",72,"synthetic",9,0.1,"0010"
"0001",67,"synthetic",9,0.1,"0010"
"0010",77,"synthetic",9,0.1,"0010"
"0011",64,"synthetic",9,0.1,"0010"
"0100",93,"synthetic",9,0.1,"0010"
"0101",73,"synthetic",9,0.1,"0010"
"0110",68,"synthetic",9,0.1,"0010"
"0111",64,"synthetic",9,0.1,"0010"
"1000",36,"synthetic",9,0.1,"0010"
"1001",79,"synthetic",9,0.1,"0010"
"1010",92,"synthetic",9,0.1,"0010"
"1011",78,"synthetic",9,0.1,"0010"
"1100",70,"synthetic",9,0.1,"0010"
"1101",53,"synthetic",9,0.1,"0010"
"1110",57,"synthetic",9,0.1,"0010"
"1111",0,"synthetic",9,0.1,"0010"
"0000",70,"original",1,0.1,"1010"
"0001",61,"original",1,0.1,"1010"
"0010",67,"original",1,0.1,"1010"
"0011",53,"original",1,0.1,"1010"
"0100",77,"original",1,0.1,"1010"
"0101",74,"original",1,0.1,"1010"
"0110",67,"original",1,0.1,"1010"
"0111",80,"original",1,0.1,"1010"
"1000",54,"original",1,0.1,"1010"
"1001",65,"original",1,0.1,"1010"
"1010",94,"original",1,0.1,"1010"
"1011",60,"original",1,0.1,"1010"
"1100",64,"original",1,0.1,"1010"
"1101",56,"original",1,0.1,"1010"
"1110",58,"original",1,0.1,"1010"
"1111",0,"original",1,0.1,"1010"
"0000",83,"synthetic",9,0.1,"1010"
"0001",63,"synthetic",9,0.1,"1010"
"0010",74,"synthetic",9,0.1,"1010"
"0011",55,"synthetic",9,0.1,"1010"
"0100",85,"synthetic",9,0.1,"1010"
"0101",75,"synthetic",9,0.1,"1010"
"0110",65,"synthetic",9,0.1,"1010"
"0111",91,"synthetic",9,0.1,"1010"
"1000",57,"synthetic",9,0.1,"1010"
"1001",119,"synthetic",9,0.1,"1010"
"1010",77,"synthetic",9,0.1,"1010"
"1011",46,"synthetic",9,0.1,"1010"
"1100",56,"synthetic",9,0.1,"1010"
"1101",59,"synthetic",9,0.1,"1010"
"1110",61,"synthetic",9,0.1,"1010"
"1111",1,"synthetic",9,0.1,"1010"
"0000",70,"original",1,0.1,"0110"
"0001",61,"original",1,0.1,"0110"
"0010",67,"original",1,0.1,"0110"
"0011",53,"original",1,0.1,"0110"
"0100",77,"original",1,0.1,"0110"
"0101",74,"original",1,0.1,"0110"
"0110",68,"original",1,0.1,"0110"
"0111",80,"original",1,0.1,"0110"
"1000",54,"original",1,0.1,"0110"
"1001",65,"original",1,0.1,"0110"
"1010",93,"original",1,0.1,"0110"
"1011",60,"original",1,0.1,"0110"
"1100",64,"original",1,0.1,"0110"
"1101",56,"original",1,0.1,"0110"
"1110",58,"original",1,0.1,"0110"
"1111",0,"original",1,0.1,"0110"
"0000",62,"synthetic",9,0.1,"0110"
"0001",54,"synthetic",9,0.1,"0110"
"0010",58,"synthetic",9,0.1,"0110"
"0011",48,"synthetic",9,0.1,"0110"
"0100",73,"synthetic",9,0.1,"0110"
"0101",77,"synthetic",9,0.1,"0110"
"0110",77,"synthetic",9,0.1,"0110"
"0111",100,"synthetic",9,0.1,"0110"
"1000",48,"synthetic",9,0.1,"0110"
"1001",66,"synthetic",9,0.1,"0110"
"1010",91,"synthetic",9,0.1,"0110"
"1011",59,"synthetic",9,0.1,"0110"
"1100",68,"synthetic",9,0.1,"0110"
"1101",67,"synthetic",9,0.1,"0110"
"1110",56,"synthetic",9,0.1,"0110"
"1111",-32,"synthetic",9,0.1,"0110"
"0000",70,"original",1,0.1,"1110"
"0001",61,"original",1,0.1,"1110"
"0010",67,"original",1,0.1,"1110"
"0011",53,"original",1,0.1,"1110"
"0100",77,"original",1,0.1,"1110"
"0101",74,"original",1,0.1,"1110"
"0110",67,"original",1,0.1,"1110"
"0111",80,"original",1,0.1,"1110"
"1000",54,"original",1,0.1,"1110"
"1001",65,"original",1,0.1,"1110"
"1010",93,"original",1,0.1,"1110"
"1011",60,"original",1,0.1,"1110"
"1100",64,"original",1,0.1,"1110"
"1101",56,"original",1,0.1,"1110"
"1110",59,"original",1,0.1,"1110"
"1111",0,"original",1,0.1,"1110"
"0000",77,"synthetic",9,0.1,"1110"
"0001",49,"synthetic",9,0.1,"1110"
"0010",59,"synthetic",9,0.1,"1110"
"0011",54,"synthetic",9,0.1,"1110"
"0100",77,"synthetic",9,0.1,"1110"
"0101",76,"synthetic",9,0.1,"1110"
"0110",62,"synthetic",9,0.1,"1110"
"0111",85,"synthetic",9,0.1,"1110"
"1000",53,"synthetic",9,0.1,"1110"
"1001",43,"synthetic",9,0.1,"1110"
"1010",132,"synthetic",9,0.1,"1110"
"1011",64,"synthetic",9,0.1,"1110"
"1100",58,"synthetic",9,0.1,"1110"
"1101",49,"synthetic",9,0.1,"1110"
"1110",89,"synthetic",9,0.1,"1110"
"1111",-3,"synthetic",9,0.1,"1110"
"0000",70,"original",1,0.1,"0001"
"0001",62,"original",1,0.1,"0001"
"0010",67,"original",1,0.1,"0001"
"0011",53,"original",1,0.1,"0001"
"0100",77,"original",1,0.1,"0001"
"0101",74,"original",1,0.1,"0001"
"0110",67,"original",1,0.1,"0001"
"0111",80,"original",1,0.1,"0001"
"1000",54,"original",1,0.1,"0001"
"1001",65,"original",1,0.1,"0001"
"1010",93,"original",1,0.1,"0001"
"1011",60,"original",1,0.1,"0001"
