"term","estimate","std.error","statistic","p.value","dep_var","data","privacy","parents","copies"
"(Intercept)",3.94733061173908,0.208296106438249,18.9505731971485,0.000000000000000000000000000000000000000000000000000000000000000000252982097719272,"age","ods",10,0,10
"income",0.00909598439328463,0.0166908813424759,0.544967291220067,0.585915521437491,"age","ods",10,0,10
"wealth",-0.00998192043606238,0.00909494873566466,-1.09752355138843,0.272715910116655,"age","ods",10,0,10
"(Intercept)",10.4293462527378,0.357162466147097,29.2005662443894,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000306150542544668,"income","ods",10,0,10
"age",0.0374735600497194,0.0687629526642304,0.544967291220068,0.58591552143749,"income","ods",10,0,10
"wealth",-0.0459296008235934,0.0184073525481332,-2.49517689757354,0.0127735612857421,"income","ods",10,0,10
"(Intercept)",14.1488463302294,0.787074702607918,17.9764973811865,0.000000000000000000000000000000000000000000000000000000000000107735221194594,"wealth","ods",10,0,10
"age",-0.138355121809013,0.126061187146267,-1.09752355138843,0.272715910116656,"wealth","ods",10,0,10
"income",-0.154524931920667,0.0619294495997204,-2.49517689757354,0.012773561285742,"wealth","ods",10,0,10
"(Intercept)",3.94733061173908,0.208296106438249,18.9505731971485,0.000000000000000000000000000000000000000000000000000000000000000000252982097719272,"age","ods",10,1,5
"income",0.00909598439328463,0.0166908813424759,0.544967291220067,0.585915521437491,"age","ods",10,1,5
"wealth",-0.00998192043606238,0.00909494873566466,-1.09752355138843,0.272715910116655,"age","ods",10,1,5
"(Intercept)",10.4293462527378,0.357162466147097,29.2005662443894,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000306150542544668,"income","ods",10,1,5
"age",0.0374735600497194,0.0687629526642304,0.544967291220068,0.58591552143749,"income","ods",10,1,5
"wealth",-0.0459296008235934,0.0184073525481332,-2.49517689757354,0.0127735612857421,"income","ods",10,1,5
"(Intercept)",14.1488463302294,0.787074702607918,17.9764973811865,0.000000000000000000000000000000000000000000000000000000000000107735221194594,"wealth","ods",10,1,5
"age",-0.138355121809013,0.126061187146267,-1.09752355138843,0.272715910116656,"wealth","ods",10,1,5
"income",-0.154524931920667,0.0619294495997204,-2.49517689757354,0.012773561285742,"wealth","ods",10,1,5
"(Intercept)",3.94733061173908,0.208296106438249,18.9505731971485,0.000000000000000000000000000000000000000000000000000000000000000000252982097719272,"age","ods",10,1,10
"income",0.00909598439328463,0.0166908813424759,0.544967291220067,0.585915521437491,"age","ods",10,1,10
"wealth",-0.00998192043606238,0.00909494873566466,-1.09752355138843,0.272715910116655,"age","ods",10,1,10
"(Intercept)",10.4293462527378,0.357162466147097,29.2005662443894,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000306150542544668,"income","ods",10,1,10
"age",0.0374735600497194,0.0687629526642304,0.544967291220068,0.58591552143749,"income","ods",10,1,10
"wealth",-0.0459296008235934,0.0184073525481332,-2.49517689757354,0.0127735612857421,"income","ods",10,1,10
"(Intercept)",14.1488463302294,0.787074702607918,17.9764973811865,0.000000000000000000000000000000000000000000000000000000000000107735221194594,"wealth","ods",10,1,10
"age",-0.138355121809013,0.126061187146267,-1.09752355138843,0.272715910116656,"wealth","ods",10,1,10
"income",-0.154524931920667,0.0619294495997204,-2.49517689757354,0.012773561285742,"wealth","ods",10,1,10
"(Intercept)",3.94733061173908,0.208296106438249,18.9505731971485,0.000000000000000000000000000000000000000000000000000000000000000000252982097719272,"age","ods",10,2,5
"income",0.00909598439328463,0.0166908813424759,0.544967291220067,0.585915521437491,"age","ods",10,2,5
"wealth",-0.00998192043606238,0.00909494873566466,-1.09752355138843,0.272715910116655,"age","ods",10,2,5
"(Intercept)",10.4293462527378,0.357162466147097,29.2005662443894,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000306150542544668,"income","ods",10,2,5
"age",0.0374735600497194,0.0687629526642304,0.544967291220068,0.58591552143749,"income","ods",10,2,5
"wealth",-0.0459296008235934,0.0184073525481332,-2.49517689757354,0.0127735612857421,"income","ods",10,2,5
"(Intercept)",14.1488463302294,0.787074702607918,17.9764973811865,0.000000000000000000000000000000000000000000000000000000000000107735221194594,"wealth","ods",10,2,5
"age",-0.138355121809013,0.126061187146267,-1.09752355138843,0.272715910116656,"wealth","ods",10,2,5
"income",-0.154524931920667,0.0619294495997204,-2.49517689757354,0.012773561285742,"wealth","ods",10,2,5
"(Intercept)",3.94733061173908,0.208296106438249,18.9505731971485,0.000000000000000000000000000000000000000000000000000000000000000000252982097719272,"age","ods",10,2,10
"income",0.00909598439328463,0.0166908813424759,0.544967291220067,0.585915521437491,"age","ods",10,2,10
"wealth",-0.00998192043606238,0.00909494873566466,-1.09752355138843,0.272715910116655,"age","ods",10,2,10
"(Intercept)",10.4293462527378,0.357162466147097,29.2005662443894,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000306150542544668,"income","ods",10,2,10
"age",0.0374735600497194,0.0687629526642304,0.544967291220068,0.58591552143749,"income","ods",10,2,10
"wealth",-0.0459296008235934,0.0184073525481332,-2.49517689757354,0.0127735612857421,"income","ods",10,2,10
"(Intercept)",14.1488463302294,0.787074702607918,17.9764973811865,0.000000000000000000000000000000000000000000000000000000000000107735221194594,"wealth","ods",10,2,10
"age",-0.138355121809013,0.126061187146267,-1.09752355138843,0.272715910116656,"wealth","ods",10,2,10
"income",-0.154524931920667,0.0619294495997204,-2.49517689757354,0.012773561285742,"wealth","ods",10,2,10
"(Intercept)",3.94733061173908,0.208296106438249,18.9505731971485,0.000000000000000000000000000000000000000000000000000000000000000000252982097719272,"age","ods",20,0,5
"income",0.00909598439328463,0.0166908813424759,0.544967291220067,0.585915521437491,"age","ods",20,0,5
"wealth",-0.00998192043606238,0.00909494873566466,-1.09752355138843,0.272715910116655,"age","ods",20,0,5
"(Intercept)",10.4293462527378,0.357162466147097,29.2005662443894,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000306150542544668,"income","ods",20,0,5
"age",0.0374735600497194,0.0687629526642304,0.544967291220068,0.58591552143749,"income","ods",20,0,5
"wealth",-0.0459296008235934,0.0184073525481332,-2.49517689757354,0.0127735612857421,"income","ods",20,0,5
"(Intercept)",14.1488463302294,0.787074702607918,17.9764973811865,0.000000000000000000000000000000000000000000000000000000000000107735221194594,"wealth","ods",20,0,5
"age",-0.138355121809013,0.126061187146267,-1.09752355138843,0.272715910116656,"wealth","ods",20,0,5
"income",-0.154524931920667,0.0619294495997204,-2.49517689757354,0.012773561285742,"wealth","ods",20,0,5
"(Intercept)",3.94733061173908,0.208296106438249,18.9505731971485,0.000000000000000000000000000000000000000000000000000000000000000000252982097719272,"age","ods",20,0,10
"income",0.00909598439328463,0.0166908813424759,0.544967291220067,0.585915521437491,"age","ods",20,0,10
"wealth",-0.00998192043606238,0.00909494873566466,-1.09752355138843,0.272715910116655,"age","ods",20,0,10
"(Intercept)",10.4293462527378,0.357162466147097,29.2005662443894,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000306150542544668,"income","ods",20,0,10
"age",0.0374735600497194,0.0687629526642304,0.544967291220068,0.58591552143749,"income","ods",20,0,10
"wealth",-0.0459296008235934,0.0184073525481332,-2.49517689757354,0.0127735612857421,"income","ods",20,0,10
"(Intercept)",14.1488463302294,0.787074702607918,17.9764973811865,0.000000000000000000000000000000000000000000000000000000000000107735221194594,"wealth","ods",20,0,10
"age",-0.138355121809013,0.126061187146267,-1.09752355138843,0.272715910116656,"wealth","ods",20,0,10
"income",-0.154524931920667,0.0619294495997204,-2.49517689757354,0.012773561285742,"wealth","ods",20,0,10
"(Intercept)",3.94733061173908,0.208296106438249,18.9505731971485,0.000000000000000000000000000000000000000000000000000000000000000000252982097719272,"age","ods",20,1,5
"income",0.00909598439328463,0.0166908813424759,0.544967291220067,0.585915521437491,"age","ods",20,1,5
"wealth",-0.00998192043606238,0.00909494873566466,-1.09752355138843,0.272715910116655,"age","ods",20,1,5
"(Intercept)",10.4293462527378,0.357162466147097,29.2005662443894,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000306150542544668,"income","ods",20,1,5
"age",0.0374735600497194,0.0687629526642304,0.544967291220068,0.58591552143749,"income","ods",20,1,5
"wealth",-0.0459296008235934,0.0184073525481332,-2.49517689757354,0.0127735612857421,"income","ods",20,1,5
"(Intercept)",14.1488463302294,0.787074702607918,17.9764973811865,0.000000000000000000000000000000000000000000000000000000000000107735221194594,"wealth","ods",20,1,5
"age",-0.138355121809013,0.126061187146267,-1.09752355138843,0.272715910116656,"wealth","ods",20,1,5
"income",-0.154524931920667,0.0619294495997204,-2.49517689757354,0.012773561285742,"wealth","ods",20,1,5
"(Intercept)",3.94733061173908,0.208296106438249,18.9505731971485,0.000000000000000000000000000000000000000000000000000000000000000000252982097719272,"age","ods",20,1,10
"income",0.00909598439328463,0.0166908813424759,0.544967291220067,0.585915521437491,"age","ods",20,1,10
"wealth",-0.00998192043606238,0.00909494873566466,-1.09752355138843,0.272715910116655,"age","ods",20,1,10
"(Intercept)",10.4293462527378,0.357162466147097,29.2005662443894,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000306150542544668,"income","ods",20,1,10
"age",0.0374735600497194,0.0687629526642304,0.544967291220068,0.58591552143749,"income","ods",20,1,10
"wealth",-0.0459296008235934,0.0184073525481332,-2.49517689757354,0.0127735612857421,"income","ods",20,1,10
"(Intercept)",14.1488463302294,0.787074702607918,17.9764973811865,0.000000000000000000000000000000000000000000000000000000000000107735221194594,"wealth","ods",20,1,10
"age",-0.138355121809013,0.126061187146267,-1.09752355138843,0.272715910116656,"wealth","ods",20,1,10
"income",-0.154524931920667,0.0619294495997204,-2.49517689757354,0.012773561285742,"wealth","ods",20,1,10
"(Intercept)",3.94733061173908,0.208296106438249,18.9505731971485,0.000000000000000000000000000000000000000000000000000000000000000000252982097719272,"age","ods",20,2,5
"income",0.00909598439328463,0.0166908813424759,0.544967291220067,0.585915521437491,"age","ods",20,2,5
"wealth",-0.00998192043606238,0.00909494873566466,-1.09752355138843,0.272715910116655,"age","ods",20,2,5
"(Intercept)",10.4293462527378,0.357162466147097,29.2005662443894,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000306150542544668,"income","ods",20,2,5
"age",0.0374735600497194,0.0687629526642304,0.544967291220068,0.58591552143749,"income","ods",20,2,5
"wealth",-0.0459296008235934,0.0184073525481332,-2.49517689757354,0.0127735612857421,"income","ods",20,2,5
"(Intercept)",14.1488463302294,0.787074702607918,17.9764973811865,0.000000000000000000000000000000000000000000000000000000000000107735221194594,"wealth","ods",20,2,5
"age",-0.138355121809013,0.126061187146267,-1.09752355138843,0.272715910116656,"wealth","ods",20,2,5
"income",-0.154524931920667,0.0619294495997204,-2.49517689757354,0.012773561285742,"wealth","ods",20,2,5
"(Intercept)",3.94733061173908,0.208296106438249,18.9505731971485,0.000000000000000000000000000000000000000000000000000000000000000000252982097719272,"age","ods",20,2,10
"income",0.00909598439328463,0.0166908813424759,0.544967291220067,0.585915521437491,"age","ods",20,2,10
"wealth",-0.00998192043606238,0.00909494873566466,-1.09752355138843,0.272715910116655,"age","ods",20,2,10
"(Intercept)",10.4293462527378,0.357162466147097,29.2005662443894,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000306150542544668,"income","ods",20,2,10
"age",0.0374735600497194,0.0687629526642304,0.544967291220068,0.58591552143749,"income","ods",20,2,10
"wealth",-0.0459296008235934,0.0184073525481332,-2.49517689757354,0.0127735612857421,"income","ods",20,2,10
"(Intercept)",14.1488463302294,0.787074702607918,17.9764973811865,0.000000000000000000000000000000000000000000000000000000000000107735221194594,"wealth","ods",20,2,10
"age",-0.138355121809013,0.126061187146267,-1.09752355138843,0.272715910116656,"wealth","ods",20,2,10
"income",-0.154524931920667,0.0619294495997204,-2.49517689757354,0.012773561285742,"wealth","ods",20,2,10
"(Intercept)",3.94733061173908,0.208296106438249,18.9505731971485,0.000000000000000000000000000000000000000000000000000000000000000000252982097719272,"age","ods",30,0,5
"income",0.00909598439328463,0.0166908813424759,0.544967291220067,0.585915521437491,"age","ods",30,0,5
"wealth",-0.00998192043606238,0.00909494873566466,-1.09752355138843,0.272715910116655,"age","ods",30,0,5
"(Intercept)",10.4293462527378,0.357162466147097,29.2005662443894,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000306150542544668,"income","ods",30,0,5
"age",0.0374735600497194,0.0687629526642304,0.544967291220068,0.58591552143749,"income","ods",30,0,5
"wealth",-0.0459296008235934,0.0184073525481332,-2.49517689757354,0.0127735612857421,"income","ods",30,0,5
"(Intercept)",14.1488463302294,0.787074702607918,17.9764973811865,0.000000000000000000000000000000000000000000000000000000000000107735221194594,"wealth","ods",30,0,5
"age",-0.138355121809013,0.126061187146267,-1.09752355138843,0.272715910116656,"wealth","ods",30,0,5
"income",-0.154524931920667,0.0619294495997204,-2.49517689757354,0.012773561285742,"wealth","ods",30,0,5
"(Intercept)",3.94733061173908,0.208296106438249,18.9505731971485,0.000000000000000000000000000000000000000000000000000000000000000000252982097719272,"age","ods",30,0,10
"income",0.00909598439328463,0.0166908813424759,0.544967291220067,0.585915521437491,"age","ods",30,0,10
"wealth",-0.00998192043606238,0.00909494873566466,-1.09752355138843,0.272715910116655,"age","ods",30,0,10
"(Intercept)",10.4293462527378,0.357162466147097,29.2005662443894,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000306150542544668,"income","ods",30,0,10
"age",0.0374735600497194,0.0687629526642304,0.544967291220068,0.58591552143749,"income","ods",30,0,10
"wealth",-0.0459296008235934,0.0184073525481332,-2.49517689757354,0.0127735612857421,"income","ods",30,0,10
"(Intercept)",14.1488463302294,0.787074702607918,17.9764973811865,0.000000000000000000000000000000000000000000000000000000000000107735221194594,"wealth","ods",30,0,10
"age",-0.138355121809013,0.126061187146267,-1.09752355138843,0.272715910116656,"wealth","ods",30,0,10
"income",-0.154524931920667,0.0619294495997204,-2.49517689757354,0.012773561285742,"wealth","ods",30,0,10
"(Intercept)",3.94733061173908,0.208296106438249,18.9505731971485,0.000000000000000000000000000000000000000000000000000000000000000000252982097719272,"age","ods",30,1,5
"income",0.00909598439328463,0.0166908813424759,0.544967291220067,0.585915521437491,"age","ods",30,1,5
"wealth",-0.00998192043606238,0.00909494873566466,-1.09752355138843,0.272715910116655,"age","ods",30,1,5
"(Intercept)",10.4293462527378,0.357162466147097,29.2005662443894,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000306150542544668,"income","ods",30,1,5
"age",0.0374735600497194,0.0687629526642304,0.544967291220068,0.58591552143749,"income","ods",30,1,5
"wealth",-0.0459296008235934,0.0184073525481332,-2.49517689757354,0.0127735612857421,"income","ods",30,1,5
"(Intercept)",14.1488463302294,0.787074702607918,17.9764973811865,0.000000000000000000000000000000000000000000000000000000000000107735221194594,"wealth","ods",30,1,5
"age",-0.138355121809013,0.126061187146267,-1.09752355138843,0.272715910116656,"wealth","ods",30,1,5
"income",-0.154524931920667,0.0619294495997204,-2.49517689757354,0.012773561285742,"wealth","ods",30,1,5
"(Intercept)",3.94733061173908,0.208296106438249,18.9505731971485,0.000000000000000000000000000000000000000000000000000000000000000000252982097719272,"age","ods",30,1,10
"income",0.00909598439328463,0.0166908813424759,0.544967291220067,0.585915521437491,"age","ods",30,1,10
"wealth",-0.00998192043606238,0.00909494873566466,-1.09752355138843,0.272715910116655,"age","ods",30,1,10
"(Intercept)",10.4293462527378,0.357162466147097,29.2005662443894,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000306150542544668,"income","ods",30,1,10
"age",0.0374735600497194,0.0687629526642304,0.544967291220068,0.58591552143749,"income","ods",30,1,10
"wealth",-0.0459296008235934,0.0184073525481332,-2.49517689757354,0.0127735612857421,"income","ods",30,1,10
"(Intercept)",14.1488463302294,0.787074702607918,17.9764973811865,0.000000000000000000000000000000000000000000000000000000000000107735221194594,"wealth","ods",30,1,10
"age",-0.138355121809013,0.126061187146267,-1.09752355138843,0.272715910116656,"wealth","ods",30,1,10
"income",-0.154524931920667,0.0619294495997204,-2.49517689757354,0.012773561285742,"wealth","ods",30,1,10
"(Intercept)",3.94733061173908,0.208296106438249,18.9505731971485,0.000000000000000000000000000000000000000000000000000000000000000000252982097719272,"age","ods",30,2,5
"income",0.00909598439328463,0.0166908813424759,0.544967291220067,0.585915521437491,"age","ods",30,2,5
"wealth",-0.00998192043606238,0.00909494873566466,-1.09752355138843,0.272715910116655,"age","ods",30,2,5
"(Intercept)",10.4293462527378,0.357162466147097,29.2005662443894,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000306150542544668,"income","ods",30,2,5
"age",0.0374735600497194,0.0687629526642304,0.544967291220068,0.58591552143749,"income","ods",30,2,5
"wealth",-0.0459296008235934,0.0184073525481332,-2.49517689757354,0.0127735612857421,"income","ods",30,2,5
"(Intercept)",14.1488463302294,0.787074702607918,17.9764973811865,0.000000000000000000000000000000000000000000000000000000000000107735221194594,"wealth","ods",30,2,5
"age",-0.138355121809013,0.126061187146267,-1.09752355138843,0.272715910116656,"wealth","ods",30,2,5
"income",-0.154524931920667,0.0619294495997204,-2.49517689757354,0.012773561285742,"wealth","ods",30,2,5
"(Intercept)",3.94733061173908,0.208296106438249,18.9505731971485,0.000000000000000000000000000000000000000000000000000000000000000000252982097719272,"age","ods",30,2,10
"income",0.00909598439328463,0.0166908813424759,0.544967291220067,0.585915521437491,"age","ods",30,2,10
"wealth",-0.00998192043606238,0.00909494873566466,-1.09752355138843,0.272715910116655,"age","ods",30,2,10
"(Intercept)",10.4293462527378,0.357162466147097,29.2005662443894,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000306150542544668,"income","ods",30,2,10
"age",0.0374735600497194,0.0687629526642304,0.544967291220068,0.58591552143749,"income","ods",30,2,10
"wealth",-0.0459296008235934,0.0184073525481332,-2.49517689757354,0.0127735612857421,"income","ods",30,2,10
"(Intercept)",14.1488463302294,0.787074702607918,17.9764973811865,0.000000000000000000000000000000000000000000000000000000000000107735221194594,"wealth","ods",30,2,10
"age",-0.138355121809013,0.126061187146267,-1.09752355138843,0.272715910116656,"wealth","ods",30,2,10
"income",-0.154524931920667,0.0619294495997204,-2.49517689757354,0.012773561285742,"wealth","ods",30,2,10
"(Intercept)",3.6589095489318,0.258409790778369,14.1593301782824,0.000000000000000000000000000000000000000283644945526075,"age","sds",0,0,5
"income",0.0133026108642979,0.013555239312371,0.981363040352776,0.326419932416577,"age","sds",0,0,5
"wealth",0.00912661818519468,0.0153937676993324,0.592877478954711,0.55345776209953,"age","sds",0,0,5
"(Intercept)",9.22487776790611,0.581940888467843,15.8519154620562,0.0000000000000000000000000000000000000000000000000000000785229531397677,"income","sds",0,0,5
"age",0.0735638390818808,0.0750925960141645,0.979641708857751,0.327267798913537,"income","sds",0,0,5
"wealth",0.0340346361371774,0.0359191100089511,0.947535619025525,0.343571824032822,"income","sds",0,0,5
"(Intercept)",13.9157443911688,0.389193473312144,35.7553385280127,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000548846384971928,"wealth","sds",0,0,5
"age",0.0417093831296425,0.0708435361651811,0.58875354601712,0.556210803924012,"wealth","sds",0,0,5
"income",0.0282351981947095,0.0298405837907876,0.946201267128905,0.344247664636496,"wealth","sds",0,0,5
"(Intercept)",3.60806240629755,0.256029368310077,14.0923770976454,0.0000000000000000000000000000000000000000000215601472512242,"age","sds",0,0,10
"income",0.0129155736367817,0.013741362089521,0.939904905542876,0.347278952976632,"age","sds",0,0,10
"wealth",0.013251381743415,0.0150922310576572,0.878026694183944,0.379950991628339,"age","sds",0,0,10
"(Intercept)",9.40009204649451,0.579783758454009,16.2130999867258,0.00000000000000000000000000000000000000000000000000000000018943754994568,"income","sds",0,0,10
"age",0.0711642141538137,0.0750221590125731,0.948575928638459,0.342848272064033,"income","sds",0,0,10
"wealth",0.0213141911370338,0.03528609808923,0.604039332519434,0.545832081893592,"income","sds",0,0,10
"(Intercept)",13.9458847439499,0.390690011088775,35.6955241959872,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013279934027529,"wealth","sds",0,0,10
"age",0.0603065561376193,0.0688871420554011,0.87543994914347,0.381356190052657,"wealth","sds",0,0,10
"income",0.0176813211323052,0.0294837290114382,0.599697586606012,0.548721868945306,"wealth","sds",0,0,10
"(Intercept)",3.6589095489318,0.258409790778369,14.1593301782824,0.000000000000000000000000000000000000000283644945526075,"age","sds",0,1,5
"income",0.0133026108642979,0.013555239312371,0.981363040352776,0.326419932416577,"age","sds",0,1,5
"wealth",0.00912661818519468,0.0153937676993324,0.592877478954711,0.55345776209953,"age","sds",0,1,5
"(Intercept)",9.22487776790611,0.581940888467843,15.8519154620562,0.0000000000000000000000000000000000000000000000000000000785229531397677,"income","sds",0,1,5
"age",0.0735638390818808,0.0750925960141645,0.979641708857751,0.327267798913537,"income","sds",0,1,5
"wealth",0.0340346361371774,0.0359191100089511,0.947535619025525,0.343571824032822,"income","sds",0,1,5
"(Intercept)",13.9157443911688,0.389193473312144,35.7553385280127,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000548846384971928,"wealth","sds",0,1,5
"age",0.0417093831296425,0.0708435361651811,0.58875354601712,0.556210803924012,"wealth","sds",0,1,5
"income",0.0282351981947095,0.0298405837907876,0.946201267128905,0.344247664636496,"wealth","sds",0,1,5
"(Intercept)",3.60806240629755,0.256029368310077,14.0923770976454,0.0000000000000000000000000000000000000000000215601472512242,"age","sds",0,1,10
"income",0.0129155736367817,0.013741362089521,0.939904905542876,0.347278952976632,"age","sds",0,1,10
"wealth",0.013251381743415,0.0150922310576572,0.878026694183944,0.379950991628339,"age","sds",0,1,10
"(Intercept)",9.40009204649451,0.579783758454009,16.2130999867258,0.00000000000000000000000000000000000000000000000000000000018943754994568,"income","sds",0,1,10
"age",0.0711642141538137,0.0750221590125731,0.948575928638459,0.342848272064033,"income","sds",0,1,10
"wealth",0.0213141911370338,0.03528609808923,0.604039332519434,0.545832081893592,"income","sds",0,1,10
"(Intercept)",13.9458847439499,0.390690011088775,35.6955241959872,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013279934027529,"wealth","sds",0,1,10
"age",0.0603065561376193,0.0688871420554011,0.87543994914347,0.381356190052657,"wealth","sds",0,1,10
"income",0.0176813211323052,0.0294837290114382,0.599697586606012,0.548721868945306,"wealth","sds",0,1,10
"(Intercept)",3.59278482649704,0.256285156345014,14.0187004106488,0.00000000000000000000000000000000000000000285948101852861,"age","sds",0,2,5
"income",0.0146053280171089,0.0137872605491863,1.05933502634582,0.28948914643392,"age","sds",0,2,5
"wealth",0.0128151299752297,0.0149767290426849,0.855669481547375,0.392233868659649,"age","sds",0,2,5
"(Intercept)",9.42970498376879,0.56793023107059,16.6036327490317,0.0000000000000000000000000000000000000000000000000000000000000693360319539054,"income","sds",0,2,5
"age",0.0787104911385409,0.0748294059277486,1.05186577606322,0.292884994179741,"income","sds",0,2,5
"wealth",0.0191244160342257,0.03440630835144,0.555840395281038,0.578319994591644,"income","sds",0,2,5
"(Intercept)",13.9593057219979,0.394386446740328,35.3949935079513,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000239243143162209,"wealth","sds",0,2,5
"age",0.059159806787698,0.0694754601675981,0.851520906014652,0.394524987532364,"wealth","sds",0,2,5
"income",0.0162811848961509,0.0293483668277012,0.554756078651147,0.579061524595134,"wealth","sds",0,2,5
"(Intercept)",3.55887826955873,0.256155887267459,13.8934080630472,0.00000000000000000000000000000000000000000017783066356289,"age","sds",0,2,10
"income",0.0147666150262518,0.0140221436095139,1.05309255399673,0.292332598571287,"age","sds",0,2,10
"wealth",0.0153770190509648,0.0149132293401808,1.03109921400688,0.30249872289719,"age","sds",0,2,10
"(Intercept)",9.48746696768798,0.56952225923253,16.6586411924847,0.000000000000000000000000000000000000000000000000000000000000144770598706802,"income","sds",0,2,10
"age",0.0783046862276116,0.0743925623407403,1.05258756740966,0.292559339711452,"income","sds",0,2,10
"wealth",0.0144133806840499,0.0343625922871046,0.419449748250187,0.674888716091459,"income","sds",0,2,10
"(Intercept)",13.9569759599068,0.395468792214128,35.2922309792519,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000032322266816598,"wealth","sds",0,2,10
"age",0.0703422321724751,0.0684383541204076,1.02781887549075,0.30403905489645,"wealth","sds",0,2,10
"income",0.0123901161869468,0.0296935876910121,0.417265717968366,0.676485289882484,"wealth","sds",0,2,10
"(Intercept)",3.72408730457836,0.269526734959273,13.8171350799062,0.000000000000000223772023039026,"age","sds",0.1,0,5
"income",-0.00920264908766591,0.0140944375720763,-0.652927727027437,0.513897540107761,"age","sds",0.1,0,5
"wealth",0.0185637058425819,0.0136500429683761,1.35997416898903,0.177455351955222,"age","sds",0.1,0,5
"(Intercept)",7.79849471274775,0.901964308236166,8.64612340148811,0.00000652748175915251,"income","sds",0.1,0,5
"age",-0.0426594204438226,0.0776756896801192,-0.549199120336116,0.582910216613427,"income","sds",0.1,0,5
"wealth",0.222395533273052,0.0634217326747964,3.5066139617064,0.012508858474903,"income","sds",0.1,0,5
"(Intercept)",12.9567320686092,0.893754997321322,14.4969618155332,0.000000149340169512644,"wealth","sds",0.1,0,5
"age",0.138302184821464,0.0984919265621376,1.40419818810439,0.166181386085185,"wealth","sds",0.1,0,5
"income",0.306806054523041,0.0866975855048923,3.53880736973613,0.0137332147228382,"wealth","sds",0.1,0,5
"(Intercept)",4.12532321606581,0.287827793192198,14.3326089892615,0.0000000000000000000047805501912194,"age","sds",0.1,0,10
"income",-0.00932234648426974,0.0150604759852535,-0.618994146891357,0.536622823589378,"age","sds",0.1,0,10
"wealth",-0.00710354822751187,0.01451416273858,-0.489421839582244,0.627033178972275,"age","sds",0.1,0,10
"(Intercept)",10.5193359374821,0.840055109313197,12.5221974378352,0.00000000000278298392933725,"income","sds",0.1,0,10
"age",-0.0552642062273126,0.0845047479100656,-0.653977529003787,0.513675570252308,"income","sds",0.1,0,10
"wealth",0.0680849005433601,0.0429153847692704,1.58649167214533,0.126795464275872,"income","sds",0.1,0,10
"(Intercept)",15.5259183562841,0.85202276814831,18.2224219078398,0.0000000000000000000124283434098437,"wealth","sds",0.1,0,10
"age",-0.0499031922473116,0.12416914848958,-0.401896870956632,0.689263779980142,"wealth","sds",0.1,0,10
"income",0.101694068379394,0.063888857366847,1.59173402954245,0.123770133770627,"wealth","sds",0.1,0,10
"(Intercept)",3.72408730457836,0.269526734959273,13.8171350799062,0.000000000000000223772023039026,"age","sds",0.1,1,5
